T,P,z_carbon dioxide,z_hydrogen,rho_l,rho_v,x_carbon dioxide,x_hydrogen,y_carbon dioxide,y_hydrogen,rhoL1_carbon dioxide,rhoL2_hydrogen,rhoV1_carbon dioxide,rhoV2_hydrogen,gamma0_carbon dioxide,rhoL0_carbon dioxide,rhoV0_carbon dioxide,Tc_carbon dioxide,Pc_carbon dioxide,Psat0_carbon dioxide,gamma_wsd,gamma_cDFT_minus_wsd_corrected,gamma_cDFT_minus_wsd_uncorrected
270.7497241379,41.3874229134,0.99,0.01,0.02139780247159344,0.0024358015886883386,0.9925310830028461,0.0074689169971539566,0.8496444513864568,0.1503555486135432,0.021237984061011614,0.00015981841058182718,0.0020695653045073635,0.00036623628418097523,4.926716694080888,0.021374491517078206,0.001992925790296286,309.1473760575555,82.3795680252517,32.647688762011754,4.782957986612797,-0.10004631565144084,-0.1360386556543416
270.7497241379,41.7477060348,0.99,0.01,0.02139877074171267,0.0024540834553954047,0.9922233982389779,0.0077766017610220945,0.844631381319205,0.155368618680795,0.02123236102347896,0.00016640971823371083,0.002072795898803228,0.0003812875565921764,4.926716694080888,0.021374491517078206,0.001992925790296286,309.1473760575555,82.3795680252517,32.647688762011754,4.777059292349609,-0.10399268216827728,-0.141433129320931
270.7497241379,42.1079891562,0.99,0.01,0.02139973939884193,0.0024723672153298022,0.9919157181395106,0.008084281860489378,0.8396944461537641,0.16030555384623593,0.021226737873800673,0.00017300152504125767,0.0020760330195650823,0.00039633419576472,4.926716694080888,0.021374491517078206,0.001992925790296286,309.1473760575555,82.3795680252517,32.647688762011754,4.771162090939068,-0.10792503639230944,-0.14681081916585015
270.7497241379,42.4682722776,0.99,0.01,0.021400708425342772,0.0024906528528572855,0.9916080415899742,0.008391958410025742,0.8348320112145101,0.16516798878548983,0.021221114570292205,0.00017959385505056404,0.002079276730388005,0.0004113761224692804,4.926716694080888,0.021374491517078206,0.001992925790296286,309.1473760575555,82.3795680252517,32.647688762011754,4.765266330315583,-0.11184302105911392,-0.15217137175762474
270.7497241379,42.828555399,0.99,0.01,0.021401677804103483,0.002508940368028059,0.9913003675077369,0.008699632492263123,0.8300424946798307,0.16995750532016934,0.021215491072489958,0.00018618673161352516,0.0020825271220809424,0.00042641324594711646,4.926716694080888,0.021374491517078206,0.001992925790296286,309.1473760575555,82.3795680252517,32.647688762011754,4.759371945814606,-0.11574813283565089,-0.15751628725152322
270.7497241379,43.1888385205,0.99,0.01,0.021402647518468505,0.0025272297454259256,0.9909926948378783,0.009007305162121629,0.8253243523563322,0.17467564764366791,0.021209867340992332,0.00019278017747617103,0.0020857842528993102,0.0004414454925266155,4.926716694080888,0.021374491517078206,0.001992925790296286,309.1473760575555,82.3795680252517,32.647688762011754,4.753478889834774,-0.11964039174004171,-0.16284558907951308
270.7497241379,43.5491216419,0.99,0.01,0.021403617552221563,0.0025455209494662425,0.9906850225520754,0.009314977447924689,0.8206760743380462,0.17932392566195385,0.021204243337418615,0.00019937421480294888,0.0020890481399532122,0.00045647280951303064,4.926716694080888,0.021374491517078206,0.001992925790296286,309.1473760575555,82.3795680252517,32.647688762011754,4.747587136014655,-0.12351818656780988,-0.1681576694481608
270.7497241379,43.9094047633,0.99,0.01,0.021404587889654308,0.0025638139846166507,0.990377349652715,0.009622650347285088,0.8160962094016833,0.18390379059831669,0.021198619024564432,0.0002059688650898762,0.002092318874456674,0.00047149511015997646,4.926716694080888,0.021374491517078206,0.001992925790296286,309.1473760575555,82.3795680252517,32.647688762011754,4.741696622043971,-0.1273829279951606,-0.17345394189994323
274.1187586207,36.6308471509,0.99,0.01,0.020928668739814107,0.0022592683778401047,0.9991878762398622,0.0008121237601378436,0.9834482745358396,0.01655172546416042,0.02091167207066245,1.6996669151657178e-05,0.0022218735879002364,3.739478993986847e-05,4.3404475984740385,0.020926817214281624,0.00221308755641958,309.1473760575555,82.3795680252517,35.723453449058084,4.325837570189768,-0.01004110648131551,-0.013557077358052894
274.1187586207,36.9687606256,0.99,0.01,0.02092935955967849,0.0022764693734379387,0.998885472114528,0.0011145278854719917,0.9774573675224228,0.022542632477577106,0.02090603320482416,2.332635485433148e-05,0.002225151761006067,5.1317612431871685e-05,4.3404475984740385,0.020926817214281624,0.00221308755641958,309.1473760575555,82.3795680252517,35.723453449058084,4.320402812282773,-0.013756982262621342,-0.0185775643465389
274.1187586207,37.3066741002,0.99,0.01,0.02093005104418211,0.0022936721651794028,0.9985830821486154,0.0014169178513847517,0.9715571518536815,0.02844284814631857,0.02090039488122722,2.9656162954895697e-05,0.0022284335960877674,6.523856909163548e-05,4.3404475984740385,0.020926817214281624,0.00221308755641958,309.1473760575555,82.3795680252517,35.723453449058084,4.314971139805663,-0.017458988680520093,-0.02358162358741822
274.1187586207,37.6445875749,0.99,0.01,0.020930743164300405,0.002310876791215531,0.9982807047626883,0.001719295237311666,0.9657456869008558,0.034254313099144236,0.02089475703726463,3.59861270357754e-05,0.0022317192940756883,7.915749713984256e-05,4.3404475984740385,0.020926817214281624,0.00221308755641958,309.1473760575555,82.3795680252517,35.723453449058084,4.309542425643899,-0.02114868948472992,-0.02857082609625916
274.1187586207,37.9825010496,0.99,0.01,0.020931435891830358,0.0023280832712544598,0.9979783384207261,0.002021661579273854,0.9600210802592082,0.039978919740791895,0.02088911961208881,4.231627974154719e-05,0.0022350090170030978,9.30742542513623e-05,4.3404475984740385,0.020926817214281624,0.00221308755641958,309.1473760575555,82.3795680252517,35.723453449058084,4.304116562036358,-0.02482570149218777,-0.03354479563600954
274.1187586207,38.3204145243,0.99,0.01,0.020932129199343435,0.002345291623923439,0.9976759816276771,0.0023240183723228576,0.9543814927069046,0.04561850729309542,0.020883482546512323,4.864665283110989e-05,0.0022383029208730525,0.000106988703050387,4.3404475984740385,0.020926817214281624,0.00221308755641958,309.1473760575555,82.3795680252517,35.723453449058084,4.298693445289577,-0.028489974212933866,-0.03850348834759121
274.1187586207,38.6583279989,0.99,0.01,0.02093282306016273,0.0023625018673316257,0.9973736329281991,0.0026263670718009715,0.9488251365448673,0.05117486345513264,0.020877845782957684,5.4977277205047435e-05,0.002241601156858434,0.00012090071047319183,4.3404475984740385,0.020926817214281624,0.00221308755641958,309.1473760575555,82.3795680252517,35.723453449058084,4.293272975181476,-0.03214153548570575,-0.043446938395912404
274.1187586207,38.9962414736,0.99,0.01,0.020933517448336984,0.0023797140178279295,0.99707129090533,0.0029287090946700668,0.943350273314163,0.05664972668583709,0.020872209265402605,6.130818293437906e-05,0.002244903869127522,0.00013481014870040747,4.3404475984740385,0.020926817214281624,0.00221308755641958,309.1473760575555,82.3795680252517,35.723453449058084,4.287855055918983,-0.03578040432810159,-0.048375170834209946
274.1187586207,39.3341549483,0.99,0.01,0.020934212338626332,0.0023969281164383112,0.9967689541796477,0.003231045820352211,0.9379552222251906,0.06204477777480941,0.020866572939347246,6.76393992790843e-05,0.0022482112441117035,0.00014871687232660753,4.3404475984740385,0.020926817214281624,0.00221308755641958,309.1473760575555,82.3795680252517,35.723453449058084,4.282439573438752,-0.039408218266225425,-0.053289828870819456
274.1187586207,39.672068423,0.99,0.01,0.020934907706441665,0.0024141441351275537,0.9964666214061529,0.003533378593847014,0.9326383224653748,0.0673616775346251,0.02086093675168756,7.397095475410386e-05,0.002251523336374985,0.00016262079875256868,4.3404475984740385,0.020926817214281624,0.00221308755641958,309.1473760575555,82.3795680252517,35.723453449058084,4.277026475449481,-0.04302246906994167,-0.05818840987420515
274.1187586207,40.0099818977,0.99,0.01,0.020935603527870883,0.002431362103529928,0.9961642912755528,0.0038357087244471192,0.9273979804157673,0.07260201958423271,0.02085530065076746,8.030287710342024e-05,0.0022548403044730866,0.00017652179905684105,4.3404475984740385,0.020926817214281624,0.00221308755641958,309.1473760575555,82.3795680252517,35.723453449058084,4.27161566288978,-0.04662428644056149,-0.0630720487315104
274.1187586207,40.3478953723,0.99,0.01,0.020936299779627,0.0024485820323445653,0.9958619625115894,0.004138037488410593,0.9222326386144812,0.07776736138551865,0.0208496645862703,8.663519335669897e-05,0.0022581622685531374,0.00019041976379142753,4.3404475984740385,0.020926817214281624,0.00221308755641958,309.1473760575555,82.3795680252517,35.723453449058084,4.266207055404437,-0.05021370942329728,-0.06794078947369098
