temperature,pressure,z_carbon dioxide,z_nitrogen,z_methane,z_oxygen,z_carbon monoxide,z_hydrogen sulfide,Tc,Pc,Tr,Pr,P_bubble,P_dew,liquid_density,vapor_density,x_carbon dioxide,x_nitrogen,x_methane,x_oxygen,x_carbon monoxide,x_hydrogen sulfide,y_carbon dioxide,y_nitrogen,y_methane,y_oxygen,y_carbon monoxide,y_hydrogen sulfide,gamma,interfacial_thickness,E_carbon dioxide,E_nitrogen,E_methane,E_oxygen,E_carbon monoxide,E_hydrogen sulfide,gamma0_CO2,rhoL0_CO2,rhoV0_CO2,Tc_CO2,Psat_CO2
200.0,7.918396905488601,0.96,0.008835,0.01117,0.004081,0.000275,0.015639,308.49,84.9,0.6483192323900289,0.09326733693155007,10.533113191226349,2.3187974777654277,1203.1023397152169,16.158760278863152,0.9647916523546468,0.0054683704546302225,0.010448269493031502,0.003363302227210467,0.00018177165158246187,0.01574663381889856,0.3174741132399816,0.46027564592529213,0.10794883528882906,0.1003190748344747,0.012776246502171624,0.0012060842092508832,18.19327146983258,0.6665133253926498,1.0000000011297163,5.331203341412765,3.3232521940679454,3.5938352748772924,5.864602161250539,1.000000000247813,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,8.197217478135878,0.96,0.008835,0.01117,0.004081,0.000275,0.015639,308.49,84.9,0.6483192323900289,0.09655144261644143,10.533113191226349,2.3187974777654277,1202.7301058774465,16.67317201485445,0.9642426961997224,0.005816852605485891,0.010556354728545951,0.0034589804666324696,0.00019200122664181048,0.01573311477297147,0.3077500865468226,0.47282918770298993,0.10550861307888175,0.09970702828637666,0.013034797117488884,0.0011702872674401001,18.12102209642039,0.6690930012276788,1.0000000010418764,5.299420293615727,3.3062506661702096,3.5779972045957806,5.828901458475443,1.000000000214643,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,8.476038050783155,0.96,0.008835,0.01117,0.004081,0.000275,0.015639,308.49,84.9,0.6483192323900289,0.09983554830133279,10.533113191226349,2.3187974777654277,1202.3680766151288,17.188742326374825,0.9637051791859274,0.0061683911716745145,0.010654732552023524,0.0035492697220191748,0.00020217741046029992,0.015720249957895185,0.2986716181383892,0.4847914957593331,0.10313882809082328,0.09898823840279698,0.013272926115470464,0.0011368934931868815,18.049543125658488,0.6716658983710787,1.0000000009755885,5.268037228802703,3.289550937301817,3.5624275216261614,5.793660576427973,1.000000000183691,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,8.75485862343043,0.96,0.008835,0.01117,0.004081,0.000275,0.015639,308.49,84.9,0.6483192323900289,0.10311965398622414,10.533113191226349,2.3187974777654277,1202.0150790452094,17.705427454225383,0.9631779385814454,0.006522725814295041,0.010744550946005352,0.0036345398233602506,0.0002122922526794599,0.0157079525822145,0.2901769486941526,0.4961995323315864,0.10084309349077093,0.09818266689482417,0.013492088239526743,0.0011056703491390842,17.9787771261741,0.6742060815907039,1.0000000009114303,5.237032198349799,3.273132542577111,3.5471762818826185,5.758854405878456,1.0000000001558338,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,9.033679196077706,0.96,0.008835,0.01117,0.004081,0.000275,0.015639,308.49,84.9,0.6483192323900289,0.1064037596711155,10.533113191226349,2.3187974777654277,1201.6701054014657,18.22319195172285,0.9626599577094975,0.006879623223667662,0.010826792930495065,0.003715136724894806,0.00022233900626509077,0.015696150405179736,0.28221195636164115,0.5070876583313527,0.09862313783448769,0.0973072015246497,0.01369363135349507,0.0010764145943739137,17.908674407915758,0.6767501538637888,1.000000000852236,5.206386313754899,3.2569777667590967,3.532173709490279,5.7244612964786805,1.0000000001313152,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,9.312499768724981,0.96,0.008835,0.01117,0.004081,0.000275,0.015639,308.49,84.9,0.6483192323900289,0.10968786535600684,10.533113191226349,2.3187974777654277,1201.3322862704226,18.74200710438494,0.9621503447815464,0.007238873926830407,0.010902303791376465,0.0037913827023809406,0.00023231197149554928,0.01568478282637034,0.27472901176106923,0.5174877987983034,0.09647931737344567,0.09637612097487275,0.013878803320405697,0.0010489477719033415,17.839191773183476,0.6792569469633108,1.0000000007979226,5.1760832232966605,3.2410711914189854,3.517387479820258,5.690462466646959,1.0000000001100928,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,9.591320341372258,0.96,0.008835,0.01117,0.004081,0.000275,0.015639,308.49,84.9,0.6483192323900289,0.1129719710408982,10.533113191226349,2.3187974777654277,1201.0008686314789,19.261849668233907,0.9616483151083945,0.007600289498403767,0.010971813336851792,0.0038635770507482576,0.00024220636031775452,0.015673798645284093,0.2676860329130291,0.5274296068265539,0.09441099821030101,0.09540149070329353,0.014048758832892116,0.0010231125139303768,17.77029149721225,0.6817750996835628,1.0000000007493781,5.1461086867435375,3.2253993253124755,3.502805581146262,5.656959531745504,1.000000000092048,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,9.870140914019533,0.96,0.008835,0.01117,0.004081,0.000275,0.015639,308.49,84.9,0.6483192323900289,0.11625607672578954,10.533113191226349,2.3187974777654277,1200.675197776115,19.782700859435366,0.9611531761234967,0.007963700123171985,0.01103595415727783,0.003931997099841846,0.00025201817843431676,0.01566315431777727,0.2610457005441991,0.5369406229100508,0.09241684181869513,0.09439349917066003,0.014204566061385397,0.0009987694950093853,17.701940486048382,0.6842532467297502,1.0000000007077854,5.116450228393744,3.209950301468235,3.488417479741912,5.623961645113933,1.0000000000770284,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,10.14896148666681,0.96,0.008835,0.01117,0.004081,0.000275,0.015639,308.49,84.9,0.6483192323900289,0.11954018241068091,10.533113191226349,2.3187974777654277,1200.354702365737,20.304545542814246,0.9606643147444316,0.008328952465437448,0.011095276663934067,0.003996899417865257,0.00026174412281042617,0.01565281258552111,0.25477480289605603,0.5460464277113372,0.09049501852031319,0.09336074293761826,0.014347213031791445,0.0009757949028839138,17.634109582001535,0.6867475612921474,1.0000000006725762,5.087183770298651,3.194713627778747,3.4742138915063,5.591305900336095,1.0000000000648033,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,10.427782059314085,0.96,0.008835,0.01117,0.004081,0.000275,0.015639,308.49,84.9,0.6483192323900289,0.12282428809557225,10.533113191226349,2.3187974777654277,1200.0388820366527,20.82737157792174,0.9601811866799743,0.00869590780501002,0.011150261523545328,0.004058521110209422,0.00027138149255276074,0.01564274138870815,0.24884368578147179,0.5547707869996849,0.08864336705867543,0.09231046815659068,0.014477613677317527,0.0009540783262598546,17.566772986161293,0.6892008427328272,1.0000000006459626,5.058375722220119,3.1796799807925717,3.4601865931909086,5.5589813237265595,1.0000000000554006,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
