temperature,pressure,z_carbon dioxide,z_hydrogen,Tc,Pc,Tr,Pr,P_bubble,P_dew,liquid_density,vapor_density,x_carbon dioxide,x_hydrogen,y_carbon dioxide,y_hydrogen,gamma,interfacial_thickness,E_carbon dioxide,E_hydrogen,gamma0_CO2,rhoL0_CO2,rhoV0_CO2,Tc_CO2,Psat_CO2
200.0,25.5715083282013,0.99,0.01,308.63,85.09,0.6480251433755629,0.30052307354802327,27.560432009242327,2.417521738014983,1216.611917827153,10.600340870138703,0.9907783296910376,0.009221670308962458,0.11374860664951243,0.8862513933504875,18.50329985160875,0.6661828398671766,1.0000000000436544,1.8854028642193084,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,26.428168008675602,0.99,0.01,308.63,85.09,0.6480251433755629,0.3105907628237819,27.560432009242327,2.417521738014983,1216.4031619682885,10.752613366702947,0.9904428461579812,0.009557153842018757,0.1107816590324741,0.8892183409675258,18.45372010107726,0.6683658901441029,1.0000000008740069,1.8800338943005328,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,27.284827689149903,0.99,0.01,308.63,85.09,0.6480251433755629,0.3206584520995405,27.560432009242327,2.417521738014983,1216.1947028902625,10.905103293847215,0.9901077334647689,0.00989226653523109,0.10800451695997837,0.8919954830400217,18.404320653676013,0.6705326043965882,1.000000000000835,1.874640299246446,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
203.36903448275862,2.894744650626891,0.99,0.01,308.63,85.09,0.6589412386441973,0.034019798456068756,27.121132426299837,2.866083812501872,1211.898887510923,7.733260862998203,0.9999750812523941,2.4918747606000338e-05,0.9804705439949815,0.01952945600501862,19.11494269760455,0.6194696405235768,1.0000000005851002,1.9566491359238574,19.118564682323484,1211.9146434011463,7.723467949094397,309.1473760575555,2.835316490586698
203.36903448275862,3.720785217916889,0.99,0.01,308.63,85.09,0.6589412386441973,0.04372764388197073,27.121132426299837,2.866083812501872,1211.68039702539,7.870115735247416,0.9996292533158115,0.0003707466841884684,0.7719207703775885,0.2280792296224115,19.06473385461446,0.6216475095318209,1.0000000006069807,1.9495414602477332,19.118564682323484,1211.9146434011463,7.723467949094397,309.1473760575555,2.835316490586698
203.36903448275862,4.546825785206887,0.99,0.01,308.63,85.09,0.6589412386441973,0.05343548930787269,27.121132426299837,2.866083812501872,1211.462595492276,8.008916737270564,0.9992841710929894,0.0007158289070106094,0.637682362447762,0.362317637552238,19.01471110550976,0.6238048195477418,1.0000000006269807,1.9439482158419787,19.118564682323484,1211.9146434011463,7.723467949094397,309.1473760575555,2.835316490586698
203.36903448275862,5.372866352496885,0.99,0.01,308.63,85.09,0.6589412386441973,0.06314333473377465,27.121132426299837,2.866083812501872,1211.2452788665119,8.149491206948005,0.9989396387328404,0.0010603612671596045,0.5441391120237254,0.45586088797627455,18.96483324475468,0.6259731877320603,1.000000000650785,1.9389348957972934,19.118564682323484,1211.9146434011463,7.723467949094397,309.1473760575555,2.835316490586698
203.36903448275862,6.198906919786884,0.99,0.01,308.63,85.09,0.6589412386441973,0.07285118015967662,27.121132426299837,2.866083812501872,1211.0283540189766,8.291441232325717,0.9985955667849371,0.0014044332150629176,0.47525683417518205,0.5247431658248178,18.915086182094115,0.6281387305155703,1.0000000006752077,1.934154596967382,19.118564682323484,1211.9146434011463,7.723467949094397,309.1473760575555,2.835316490586698
203.36903448275862,7.024947487076881,0.99,0.01,308.63,85.09,0.6589412386441973,0.08255902558557858,27.121132426299837,2.866083812501872,1210.811773132196,8.434444675967594,0.998251909265245,0.0017480907347549482,0.4224351171347973,0.5775648828652027,18.86546684265642,0.6303001288535732,1.0000000006973186,1.929461268420622,19.118564682323484,1211.9146434011463,7.723467949094397,309.1473760575555,2.835316490586698
203.36903448275862,7.85098805436688,0.99,0.01,308.63,85.09,0.6589412386441973,0.09226687101148054,27.121132426299837,2.866083812501872,1210.595509456776,8.578271307224492,0.9979086403995864,0.0020913596004136542,0.3806519082797009,0.619348091720299,18.815976216876816,0.6324731827386614,1.0000000007178158,1.9247887775647614,19.118564682323484,1211.9146434011463,7.723467949094397,309.1473760575555,2.835316490586698
