temperature,pressure,z_carbon dioxide,z_hydrogen,z_nitrogen,z_carbon monoxide,z_hydrogen sulfide,Tc,Pc,Tr,Pr,P_bubble,P_dew,liquid_density,vapor_density,x_carbon dioxide,x_hydrogen,x_nitrogen,x_carbon monoxide,x_hydrogen sulfide,y_carbon dioxide,y_hydrogen,y_nitrogen,y_carbon monoxide,y_hydrogen sulfide,gamma,interfacial_thickness,E_carbon dioxide,E_hydrogen,E_nitrogen,E_carbon monoxide,E_hydrogen sulfide,gamma0_CO2,rhoL0_CO2,rhoV0_CO2,Tc_CO2,Psat_CO2
200.0,5.08723695829879,0.99,0.000986,0.00632,0.001714,0.00098,308.51,83.74,0.6482772033321449,0.060750381637195976,10.237465604212284,2.4064076242294594,1219.87928134358,10.755651428385786,0.995431193458755,0.00016546755251308103,0.0026247098252072786,0.0007892239835406775,0.0009894051799839638,0.4878065875337866,0.07685624711455748,0.3480037196142565,0.08722309243050186,0.0001103533068975903,19.290500235725883,0.6274221648240257,1.0000000011375185,1.969542396604746,5.853758638287549,6.4486531202089905,1.0000000003634912,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,5.352913484081494,0.99,0.000986,0.00632,0.001714,0.00098,308.51,83.74,0.6482772033321449,0.06392301748365768,10.237465604212284,2.4064076242294594,1219.6661317166763,11.14416541931894,0.9950982654754754,0.00018834635634620747,0.0028685170571687096,0.0008563742275349965,0.000988496883474645,0.465143191583698,0.08310293715120279,0.36164365475903376,0.09000495462306621,0.00010526188299922739,19.23268976840121,0.6295605248643071,1.0000000011501202,1.963678367416702,5.825712203981534,6.417334098735637,1.000000000366498,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,5.6185900098641985,0.99,0.000986,0.00632,0.001714,0.00098,308.51,83.74,0.6482772033321449,0.06709565333011941,10.237465604212284,2.4064076242294594,1219.4557665550712,11.527059286502059,0.9947695566330527,0.00021277888099411176,0.003108445719345211,0.0009215286774073261,0.0009876900892005806,0.4446139937877912,0.08940176072106377,0.373552616701096,0.09233096986075882,0.00010065892929005719,19.175841779384584,0.6316395288704769,1.0000000011611154,1.9579878608097745,5.798168761140627,6.386577770695236,1.000000000369649,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,5.884266535646902,0.99,0.000986,0.00632,0.001714,0.00098,308.51,83.74,0.6482772033321449,0.07026828917658111,10.237465604212284,2.4064076242294594,1219.248368914726,11.903876485433702,0.9944453682648268,0.00023887296199104208,0.0033441394516436074,0.0009846563678079204,0.0009869629537305926,0.42593077798636664,0.095788352014244,0.38392456374649575,0.09425982988012788,9.647637276565016e-05,19.11999878819851,0.6337203153518672,1.0000000011708823,1.952423701284834,5.771143606902831,6.356401115647738,1.0000000003732255,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,6.149943061429606,0.99,0.000986,0.00632,0.001714,0.00098,308.51,83.74,0.6482772033321449,0.07344092502304282,10.237465604212284,2.4064076242294594,1219.0441258932724,12.27414697078829,0.9941260037041076,0.00026673943903168475,0.003575231428754306,0.0010457254964160187,0.0009862999316904621,0.4088548459443082,0.10229341983919973,0.3929190116770456,0.09584006415020381,9.26583892425675e-05,19.065204339530574,0.6357353431489222,1.000000001178591,1.9469497851930204,5.744732351764159,6.326822272459117,1.0000000003772997,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,6.415619587212309,0.99,0.000986,0.00632,0.001714,0.00098,308.51,83.74,0.6482772033321449,0.07661356086950454,10.237465604212284,2.4064076242294594,1218.8432268730076,12.637392132511739,0.9938117669734053,0.0002964908944067141,0.0038013481716499473,0.0011047042747836854,0.0009856896857542488,0.39318682384623066,0.10894331275472888,0.40066850235878326,0.0971122023351216,8.915870513554055e-05,19.011502383257444,0.6377369225166902,1.00000000118392,1.9415711274498089,5.719076830624949,6.2978599434099545,1.0000000003818033,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,6.681296112995013,0.99,0.000986,0.00632,0.001714,0.00098,308.51,83.74,0.6482772033321449,0.07978619671596625,10.237465604212284,2.4064076242294594,1218.645861076407,12.993131058584488,0.9935029598756376,0.00032824007413722445,0.004022114332431846,0.001161561943988841,0.0009851237738045784,0.3787588877370642,0.11576034026079988,0.4072843961570637,0.09811043724185713,8.593860321501775e-05,18.958936527025752,0.6396882277322384,1.0000000011867103,1.9362928841254365,5.6939779043579115,6.269532824694019,1.0000000003866465,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,6.946972638777717,0.99,0.000986,0.00632,0.001714,0.00098,308.51,83.74,0.6482772033321449,0.08295883256242796,10.237465604212284,2.4064076242294594,1218.4522145001906,13.34088812700176,0.9931998778056861,0.00036209799320938797,0.0042371584599343514,0.0012162699466796367,0.0009845957944906536,0.3654287644300081,0.12276291490699734,0.41286143475845377,0.09886392048453403,8.296542000674422e-05,18.907549166357718,0.6415951908210595,1.0000000011869405,1.9311201982592958,5.669452362477813,6.241859038386294,1.0000000003917264,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,7.21264916456042,0.99,0.000986,0.00632,0.001714,0.00098,308.51,83.74,0.6482772033321449,0.08613146840888966,10.237465604212284,2.4064076242294594,1218.262466307508,13.68020183032631,0.9929028045262694,0.00039817175073472765,0.004446119677819865,0.0012688032316567025,0.00098410081351924,0.3530750527843714,0.1299655689812782,0.41748138358335807,0.09939778325564902,8.021139534330353e-05,18.85738049308508,0.6434778802347098,1.0000000011861154,1.9260580517439898,5.645515984509447,6.21485555527495,1.0000000003969631,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,7.478325690343124,0.99,0.000986,0.00632,0.001714,0.00098,308.51,83.74,0.6482772033321449,0.08930410425535137,10.237465604212284,2.4064076242294594,1218.0767847925842,14.010634614143296,0.9926120061559054,0.00043656211078792195,0.004648655115936503,0.0013191416497446095,0.0009836349676254938,0.3415935386986381,0.13737889350196544,0.4212159677754168,0.09973394724458721,7.765277939228687e-05,18.808467422721208,0.6452939019888724,1.0000000011904702,1.9211878516201109,5.622183010130088,6.188537610556375,1.0000000004022915,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
