temperature,pressure,z_carbon dioxide,z_argon,Tc,Pc,P_bubble,P_dew,liquid_density,vapor_density,x_carbon dioxide,x_argon,y_carbon dioxide,y_argon,gamma,interfacial_thickness,E_carbon dioxide,E_argon
201.0,18.001259757894008,0.95,0.05,305.33,88.32,22.385717610471993,2.655907273871065,1213.1619220196992,47.640064207387006,0.9612112631530995,0.03878873684690046,0.16683685979150756,0.8331631402084924,15.828507621281442,0.7414644337583788,1.0000000005449483,4.513913741638595
201.0,20.193438684183,0.95,0.05,305.33,88.32,22.385717610471993,2.655907273871065,1212.2376061029977,53.80283925920805,0.9556186944057213,0.044381305594278726,0.15248923372034717,0.8475107662796528,15.332411063426068,0.7597638830863418,1.0000000004097684,4.376832263111965
201.0,22.385617610471993,0.95,0.05,305.33,88.32,22.385717610471993,2.655907273871065,1211.29814673673,60.07463389227474,0.9500002563082539,0.049999743691746125,0.14107673276273325,0.8589232672372669,14.847496263425004,0.778124989494586,1.000000000368799,4.2460911247791495
202.0,2.79391369067666,0.95,0.05,305.33,88.32,22.51463258643739,2.79381369067666,1216.1284645340809,7.606301072259998,0.9996400272763195,0.00035997272368055734,0.9499674187788296,0.05003258122117037,19.402112877893856,0.6144496389785105,1.0000000011513848,5.498250070519095
202.0,4.985093567983408,0.95,0.05,305.33,88.32,22.51463258643739,2.79381369067666,1215.291832866902,13.078111228979939,0.9942190076014732,0.005780992398526801,0.5473148736149378,0.4526851263850622,18.831429362018078,0.6336862010834835,1.0000000007936016,5.330558861638914
202.0,7.176273445290155,0.95,0.05,305.33,88.32,22.51463258643739,2.79381369067666,1214.4428104640463,18.63840439941786,0.9887776809696759,0.011222319030324106,0.38959101829851833,0.6104089817014816,18.273176025998247,0.6526415385612289,1.000000000662113,5.165810335368622
202.0,9.367453322596903,0.95,0.05,305.33,88.32,22.51463258643739,2.79381369067666,1213.5804985881136,24.286967704853048,0.9833129799910852,0.01668702000891476,0.30567109766616224,0.6943289023338378,17.72721863812262,0.6713182046826397,1.0000000007759666,5.004573607359709
202.0,11.558633199903651,0.95,0.05,305.33,88.32,22.51463258643739,2.79381369067666,1212.704451534352,30.025894107034258,0.9778239352298912,0.0221760647701089,0.25370377331330896,0.746296226686691,17.193434668229337,0.6897628421613753,1.0000000007968697,4.849124179557742
202.0,13.7498130772104,0.95,0.05,305.33,88.32,22.51463258643739,2.79381369067666,1211.8143183308405,35.85794638774357,0.9723100411311928,0.0276899588688072,0.2184499452818029,0.781550054718197,16.671626499003484,0.7080404418633628,1.0000000009338232,4.698934056490306
202.0,15.940992954517146,0.95,0.05,305.33,88.32,22.51463258643739,2.79381369067666,1210.909777651385,41.7862383961112,0.9667709588808528,0.0332290411191471,0.19303448604681112,0.8069655139531889,16.161542287560376,0.7261960637168692,1.0000000006319432,4.555386609986151
