feed_id,feed_source,template_name,mixture_size,active_components,CO2,H2,Ar,N2,CH4,O2,CO,H2S,pool_idx,P_bubble
775,Systematic,systematic_grid,3,"CO2,O2,H2S",0.98,0.0,0.0,0.0,0.0,0.02,0.0,0.0,775,14.356137583029941
663,Random (Dirichlet),dirichlet,6,"CO2,Ar,N2,CH4,O2,H2S",0.97,0.0,0.000914480243556,0.0032075143230033,0.0073043694621456,0.0054693504992524,0.0,0.0131042854720424,663,13.047564427740351
675,Random (Dirichlet),dirichlet,5,"CO2,Ar,CH4,O2,H2S",0.97,0.0,0.0093052350096021,0.0,0.0013372435790982,0.0134135481285656,0.0,0.005943973282734,675,16.01683147252351
96,Random (Dirichlet),dirichlet,5,"CO2,H2,Ar,CH4,CO",0.97,0.0039779109653911,0.0004153495355786,0.0,0.0035735206420983,0.0,0.0220332188569318,0.0,96,44.221212007921636
697,Random (Dirichlet),dirichlet,3,"CO2,H2,CO",0.97,0.0202550687742263,0.0,0.0,0.0,0.0,0.0097449312257737,0.0,697,118.15163193247385
612,Random (Dirichlet),dirichlet,4,"CO2,Ar,CH4,CO",0.96,0.0,0.0091602969475364,0.0,0.0297429131384274,0.0,0.0010967899140362,0.0,612,16.79162004678257
499,Random (Dirichlet),dirichlet,4,"CO2,H2,Ar,CH4",0.96,0.0024579069389181,0.0078345952542993,0.0,0.0297074978067825,0.0,0.0,0.0,499,26.578759862288685
914,industrial_range,oxyfuel_distillation_41,5,"CO2,Ar,N2,O2,CO",0.9936315928410844,0.0,0.0009957957751984,0.0013690266014562,0.0,0.0039535847822608,5e-05,0.0,914,9.700740492334887
285,Random (Dirichlet),dirichlet,3,"CO2,CH4,CO",0.97,0.0,0.0,0.0,0.0269451178275225,0.0,0.0030548821724774,0.0,285,13.918588886290713
605,Random (Dirichlet),dirichlet,4,"CO2,CH4,CO,H2S",0.97,0.0,0.0,0.0,0.0228182199768799,0.0,0.0005936652902472,0.0065881147328728,605,11.227179134032205
