trial_id,loss,FINGERPRINT_FEATURE,MIN_UNIQUE_FOR_NUMERICAL_FEATURES,OUTLIER_REMOVAL_STD,POLYNOMIAL_FEATURES,PREPROCESS_TRANSFORMS,REGRESSION_Y_PREPROCESS_TRANSFORMS,average_before_softmax,max_depth,model_path,model_type,n_estimators,softmax_temperature
93,0.07097820047696962,1,1,0,0,171,1,1,2,2,0,0,3
6,0.07332057385556098,0,3,0,0,111,1,0,2,0,0,0,1
89,0.07403163258626093,1,1,1,0,179,1,1,1,6,0,0,3
76,0.0760380341355198,1,1,0,0,145,1,0,3,4,0,0,3
58,0.07729451247492956,1,2,1,0,94,1,0,2,2,0,0,1
67,0.0799588712375268,1,2,2,0,77,1,0,3,1,0,0,1
84,0.08130779882365972,1,2,2,0,99,1,1,3,2,0,0,3
91,0.08143273675623922,0,2,1,0,36,0,0,3,1,0,0,5
44,0.08406590596063655,0,1,2,0,158,1,0,3,6,0,0,4
90,0.0840946617454103,1,0,2,0,21,2,0,3,3,0,0,1
77,0.0858038778476488,1,0,2,0,166,1,0,1,5,0,0,4
86,0.08631359210309857,1,2,2,0,41,0,0,3,1,0,0,4
62,0.08856655192111086,1,2,1,0,44,1,0,1,5,1,0,1
53,0.08934069351473686,1,3,2,0,27,2,0,3,1,0,0,3
49,0.0900466181065171,1,3,2,0,161,2,0,2,1,0,0,2
22,0.09074440784131356,1,2,2,0,76,1,0,3,1,0,0,0
30,0.09110549673622717,1,1,2,0,67,1,0,3,3,0,0,3
36,0.09206545241277612,1,2,0,0,56,1,0,3,6,0,0,5
96,0.09218024653203553,0,2,2,0,83,2,0,0,4,0,0,1
54,0.09377854077904786,0,2,2,0,38,1,0,1,6,1,0,0
15,0.09391152818026695,0,1,1,0,26,0,0,2,2,0,0,5
16,0.09393221439988918,1,0,0,0,9,2,0,2,2,0,0,3
70,0.09606223573670064,1,1,1,0,39,1,0,3,1,0,0,2
37,0.09766289247815496,1,1,2,0,148,1,0,3,5,0,0,3
98,0.09810976819970589,1,2,1,0,58,1,1,0,1,0,0,1
95,0.09904265967502719,1,2,1,0,82,1,0,0,1,0,0,1
12,0.09961677442432103,1,3,1,0,12,2,0,0,3,0,0,1
1,0.10043022351397697,1,0,0,0,84,2,0,3,6,0,0,4
71,0.10106671172604151,1,2,0,0,71,1,0,3,6,0,0,0
99,0.1013306734621848,1,2,2,0,59,1,0,0,1,0,0,1
75,0.10362477755713874,1,3,2,0,31,1,0,2,1,0,0,0
52,0.10535990450416878,1,1,2,0,85,1,0,2,5,0,0,4
43,0.10689199815562515,1,2,2,0,138,2,0,3,5,0,0,1
72,0.11166994931530945,1,2,2,0,117,1,0,3,1,0,0,5
87,0.11492918303232258,0,2,0,0,174,1,0,2,1,1,0,2
51,0.11649423304144668,0,2,1,0,1,0,1,3,4,0,0,5
97,0.12080790104695063,1,2,2,0,146,0,0,0,5,1,0,1
0,0.12228847342922837,1,2,0,0,147,0,1,3,0,0,0,3
63,0.13331230058456775,1,2,1,0,70,2,0,3,1,0,0,0
88,0.13811167383574255,1,3,2,0,18,1,0,0,5,0,0,0
7,0.141323070486186,0,0,0,0,121,1,1,1,5,1,0,1
42,0.1543548101811959,1,3,1,0,2,1,0,2,1,1,0,3
14,0.17363668665424437,0,2,2,0,7,0,0,2,4,1,0,2
64,0.17399276619820206,1,2,1,0,3,0,1,3,3,0,0,5
79,0.1807067784366528,1,1,2,0,105,2,0,3,1,1,0,2
45,0.19029968580123166,1,3,1,0,128,0,1,2,2,1,0,2
57,0.20146405045665736,0,2,1,0,42,2,0,3,0,1,0,1
92,0.21422001912637903,1,2,2,0,122,1,0,3,0,1,0,0
2,0.21909045731021579,0,1,0,0,60,0,1,2,2,1,0,0
81,0.22766086607095318,1,3,1,0,118,0,0,3,3,0,0,3
4,0.2542587780206064,0,3,0,0,131,2,0,0,2,1,0,5
17,0.2572179428708227,0,0,1,0,167,1,1,3,6,1,0,2
48,0.2702605689746035,0,1,1,0,112,0,1,3,0,1,0,3
40,0.2778094190804281,1,2,2,0,115,2,0,3,0,1,0,5
83,0.28408607761052274,0,0,2,0,91,1,0,1,0,1,0,5
19,0.298955476231675,0,3,0,0,34,0,1,0,5,0,0,5
18,0.3250429881230036,0,0,2,0,53,0,1,3,2,1,0,4
50,0.33139180857665207,1,0,0,0,123,1,0,0,2,1,0,0
