T,P,z_carbon dioxide,z_hydrogen,z_argon,z_nitrogen,z_carbon monoxide,rho_l,rho_v,x_carbon dioxide,x_hydrogen,x_argon,x_nitrogen,x_carbon monoxide,y_carbon dioxide,y_hydrogen,y_argon,y_nitrogen,y_carbon monoxide,rhoL1_carbon dioxide,rhoL2_hydrogen,rhoL3_argon,rhoL4_nitrogen,rhoL5_carbon monoxide,rhoV1_carbon dioxide,rhoV2_hydrogen,rhoV3_argon,rhoV4_nitrogen,rhoV5_carbon monoxide,gamma0_carbon dioxide,rhoL0_carbon dioxide,rhoV0_carbon dioxide,Tc_carbon dioxide,Pc_carbon dioxide,Psat0_carbon dioxide,gamma_wsd,gamma_cDFT_minus_wsd_corrected,gamma_cDFT_minus_wsd_uncorrected
211.0777777778,12.013759308,0.95000095000095,0.0023540023540023543,0.004507004507004507,0.03680603680603681,0.006332006332006332,0.02692811262905896,0.0007323307561289806,0.9874352167551365,0.00020988678443434956,0.0018988993305780232,0.008753883865589574,0.001702113264261611,0.37378109235063034,0.03535804050960855,0.044653162661136406,0.46860847280064016,0.07759923167798455,0.02658976673068156,5.6518549705991834e-06,5.113377504504967e-05,0.00023572557067429807,4.5834697687451854e-05,0.00027373138998785347,2.5893780541640756e-05,3.270088437518039e-05,0.00034317639721453963,5.682830400976637e-05,17.324916275101526,0.02697981287155117,0.0002473766437044414,309.1473760575555,82.3795680252517,4.087196256561205,16.578437628541604,-0.832275892036364,-1.0432309722345714
211.0777777778,15.8229046719,0.95000095000095,0.0023540023540023543,0.004507004507004507,0.03680603680603681,0.006332006332006332,0.026903651519672805,0.0009720016687607361,0.9816353141955281,0.0003477010910115152,0.0025277335770262266,0.013009750012923907,0.002479501123510331,0.2960797384289726,0.043826716792126644,0.04542096872008727,0.5287045492892969,0.0859680267695166,0.026409574412521012,9.354428985583842e-06,6.800526329088962e-05,0.0003500097807057636,6.670763416955915e-05,0.00028778999983920366,4.259964185825127e-05,4.414925739265402e-05,0.0005139017041905894,8.356106548003778e-05,17.324916275101526,0.02697981287155117,0.0002473766437044414,309.1473760575555,82.3795680252517,4.087196256561205,16.238649985045562,-1.1862853007550083,-1.4900821391038317
211.0777777778,19.6320500359,0.95000095000095,0.0023540023540023543,0.004507004507004507,0.03680603680603681,0.006332006332006332,0.026879782280303396,0.0012157539079131726,0.975976032907741,0.0005184959381975165,0.0030352494415664365,0.01724639128320997,0.00322383042928504,0.24895597903940062,0.05189272939426218,0.04422839792141383,0.56470391404374,0.09021897960118332,0.0262340232753543,1.393705793197089e-05,8.158684415571828e-05,0.0004635792428136063,8.66558600477989e-05,0.00030266920441550117,6.308878855335501e-05,5.3770847613697704e-05,0.0006865409903125412,0.00010968407701807741,17.324916275101526,0.02697981287155117,0.0002473766437044414,309.1473760575555,82.3795680252517,4.087196256561205,15.910491968597698,-1.5117357785011407,-1.9033777067731368
211.0777777778,23.4411953998,0.95000095000095,0.0023540023540023543,0.004507004507004507,0.03680603680603681,0.006332006332006332,0.0268568213160304,0.0014633663666547491,0.9704645249901135,0.0007316274335960067,0.0034494990343971166,0.021423532208064706,0.003930816333828728,0.21753484803569767,0.060424727264264164,0.04235898842173315,0.5874020684039253,0.09227936787437982,0.026063592341205796,1.964918725399385e-05,9.264257919662276e-05,0.000575367976470216,0.00010556923190377184,0.0003183331801907919,8.84235135928104e-05,6.198671898188222e-05,0.0008595844306057365,0.00013503852328352817,17.324916275101526,0.02697981287155117,0.0002473766437044414,309.1473760575555,82.3795680252517,4.087196256561205,15.594385501741785,-1.8096752811818746,-2.2842805567182705
211.0777777778,27.2503407638,0.95000095000095,0.0023540023540023543,0.004507004507004507,0.03680603680603681,0.006332006332006332,0.02683515834035804,0.001714492743555995,0.9651192423935966,0.0009993082164068822,0.003790125544735672,0.02549533369638805,0.004595990148872777,0.19523568694660534,0.0699857196515026,0.040296452447443606,0.6014813047639386,0.09300083619050976,0.025899127686958557,2.6816594218099465e-05,0.00010170861912281753,0.0006841713166828392,0.00012333412337572672,0.00033473016855312473,0.00011999000849504541,6.908797531219128e-05,0.0010312353324023647,0.00015944925879326875,17.324916275101526,0.02697981287155117,0.0002473766437044414,309.1473760575555,82.3795680252517,4.087196256561205,15.291361811322453,-2.08108862768556,-2.6337398042279823
211.0777777778,31.0594861278,0.95000095000095,0.0023540023540023543,0.004507004507004507,0.03680603680603681,0.006332006332006332,0.026815272214365103,0.0019686155777917666,0.9599693386235961,0.0013370157628584281,0.0040710655466965175,0.02940824096080385,0.005214339106044998,0.17869213513841473,0.08104382395308063,0.03823798907793928,0.6092140118541555,0.09281203997640983,0.025741839132635762,3.585244163594577e-05,0.00010916673083719021,0.0007885899867095972,0.0001398239225466058,0.0003517761208623547,0.00015954413431784804,7.52759009622627e-05,0.0011993081939451085,0.00018271122770419258,17.324916275101526,0.02697981287155117,0.0002473766437044414,309.1473760575555,82.3795680252517,4.087196256561205,15.00303024860786,-2.3268549098282314,-2.952480332785049
211.0777777778,34.8686314917,0.95000095000095,0.0023540023540023543,0.004507004507004507,0.03680603680603681,0.006332006332006332,0.02679772913834419,0.002225011032653773,0.9550532593406248,0.0017633029676988989,0.004302351462570249,0.033100813088542534,0.005780273140563547,0.16599644647454934,0.09401722959455802,0.036264543032382225,0.611773222262527,0.09194855863598357,0.02559325855650285,4.725251531723357e-05,0.0001152932491519165,0.000887026623405721,0.00015489819396646804,0.0003693439247871938,0.00020918937310743444,8.068900834119797e-05,0.0013612021690162714,0.00020458655740167582,17.324916275101526,0.02697981287155117,0.0002473766437044414,309.1473760575555,82.3795680252517,4.087196256561205,14.731488547178582,-2.5477841383796633,-3.241077825177541
211.0777777778,38.6777768557,0.95000095000095,0.0023540023540023543,0.004507004507004507,0.03680603680603681,0.006332006332006332,0.02678314342082438,0.0024827490071659217,0.9504146767689549,0.002298310715938122,0.004491425070659645,0.036507464825359735,0.006288122619087594,0.15598120130831297,0.1092367662449732,0.034406883093476705,0.6098220159438957,0.09055313340934142,0.025455092597159366,6.155598553058829e-05,0.00012029448183136356,0.0009777846663483112,0.00016841568995475286,0.0003872621726847618,0.0002712074729407231,8.542365484000323e-05,0.001514035004632628,0.00022482070206780567,17.324916275101526,0.02697981287155117,0.0002473766437044414,309.1473760575555,82.3795680252517,4.087196256561205,14.479070949764578,-2.7447586283034173,-3.500165116311436
222.1555555556,7.1066836177,0.95000095000095,0.0023540023540023543,0.004507004507004507,0.03680603680603681,0.006332006332006332,0.026133453311692787,0.00041937446520828316,0.9991282062967992,1.2738173096838616e-05,0.0001527215228146665,0.0005890804466615669,0.0001172535606276623,0.931978883737695,0.003212882360530001,0.00610434949198513,0.05009202988961998,0.008611854520169783,0.026110670331652763,3.3289245190249307e-07,3.991140786167712e-06,1.539470634966119e-05,3.0642404522927524e-06,0.00039084814595290857,1.3474008217243956e-06,2.560008303645719e-06,2.1007318246156713e-05,3.6115918838477387e-06,14.80844964881461,0.02613751915071385,0.00038856268819866414,309.1473760575555,82.3795680252517,6.578834446362182,14.762077137992994,-0.04416307077546655,-0.057043785996956586
222.1555555556,10.744733364,0.95000095000095,0.0023540023540023543,0.004507004507004507,0.03680603680603681,0.006332006332006332,0.02610543407671749,0.0006339565228180576,0.9932041607461729,0.00011044682592241558,0.0010796141272860782,0.004689098092545862,0.0009166802080728708,0.642298291842446,0.018333092514396025,0.02891762381503499,0.265549855693333,0.04490113613478997,0.02592802574308074,2.883262333100312e-06,2.81837954281596e-05,0.00012241094113421772,2.3930334741278e-05,0.00040718919170841506,1.1622383582928265e-05,1.8332516241940235e-05,0.00016834706315018236,2.8465368134591688e-05,14.80844964881461,0.02613751915071385,0.00038856268819866414,309.1473760575555,82.3795680252517,6.578834446362182,14.448363841105259,-0.33766863044054674,-0.4365292293240568
