T,P,z_carbon dioxide,z_hydrogen sulfide,rho_l,rho_v,x_carbon dioxide,x_hydrogen sulfide,y_carbon dioxide,y_hydrogen sulfide,rhoL1_carbon dioxide,rhoL2_hydrogen sulfide,rhoV1_carbon dioxide,rhoV2_hydrogen sulfide,gamma0_carbon dioxide,rhoL0_carbon dioxide,rhoV0_carbon dioxide,Tc_carbon dioxide,Pc_carbon dioxide,Psat0_carbon dioxide,parachor_carbon dioxide,parachor_hydrogen sulfide,n_exp,gamma_parachor,gamma_cDFT_minus_parachor
231.5614482759,8.9153906526,0.96,0.04,0.025581549660823127,0.0005161636951369621,0.9250626581320577,0.07493734186794224,0.9765274186114218,0.02347258138857817,0.02366453632837828,0.0019170133324448444,0.0005040480007930306,1.2115694343931594e-05,12.734616220753802,0.025374625064564105,0.0005524979746710031,309.1473760575555,82.3795680252517,9.477202930405587,77.7476135787198,85.79222952765733,3.87,13.631432572721664,-0.079710731028376
231.5614482759,8.9308291174,0.96,0.04,0.025576061737015425,0.0005171551171042501,0.927142291582442,0.07285770841755804,0.9772030604072084,0.022796939592791523,0.023712648488510492,0.0018634132485049327,0.0005053655631395214,1.1789553964728615e-05,12.734616220753802,0.025374625064564105,0.0005524979746710031,309.1473760575555,82.3795680252517,9.477202930405587,77.7476135787198,85.79222952765733,3.87,13.606408417881138,-0.07762172494997444
231.5614482759,8.9462675821,0.96,0.04,0.025570562253438435,0.0005181469332929267,0.9292209079831862,0.07077909201681382,0.9778768385420995,0.02212316145790052,0.023760701074780653,0.001809861178657785,0.0005066838850287713,1.1463048264155427e-05,12.734616220753802,0.025374625064564105,0.0005524979746710031,309.1473760575555,82.3795680252517,9.477202930405587,77.7476135787198,85.79222952765733,3.87,13.581403877618214,-0.07552583563525417
231.5614482759,8.9617060469,0.96,0.04,0.025565051235525525,0.0005191391439975027,0.9312984963069375,0.0687015036930625,0.9785487652283708,0.021451234771629253,0.023808693773654736,0.0017563574618707886,0.0005080029683404696,1.1136175657033074e-05,12.734616220753802,0.025374625064564105,0.0005524979746710031,309.1473760575555,82.3795680252517,9.477202930405587,77.7476135787198,85.79222952765733,3.87,13.556419106435538,-0.07342315594023319
231.5614482759,8.9771445117,0.96,0.04,0.02555952870053406,0.0005201317495122326,0.9333750486902814,0.06662495130971867,0.9792188526012996,0.02078114739870038,0.023856626345361624,0.0017029023551724386,0.000509322814958875,1.080893455335761e-05,12.734616220753802,0.025374625064564105,0.0005524979746710031,309.1473760575555,82.3795680252517,9.477202930405587,77.7476135787198,85.79222952765733,3.87,13.531454223504301,-0.07131374471472185
231.5614482759,8.9925829764,0.96,0.04,0.025553994693250055,0.0005211247501314001,0.9354505472329548,0.06454945276704524,0.9798871127239556,0.020112887276044347,0.02390449831978879,0.0016494963734612691,0.0005106434267752504,1.0481323356149626e-05,12.734616220753802,0.025374625064564105,0.0005524979746710031,309.1473760575555,82.3795680252517,9.477202930405587,77.7476135787198,85.79222952765733,3.87,13.506509459875646,-0.06919777231879287
231.5614482759,9.0080214412,0.96,0.04,0.025548449231709625,0.0005221181461488093,0.9375249840827519,0.062475015917248175,0.9805535575851412,0.019446442414858853,0.02395230945929756,0.0015961397724120656,0.0005119648056859736,1.015334046283568e-05,12.734616220753802,0.025374625064564105,0.0005524979746710031,309.1473760575555,82.3795680252517,9.477202930405587,77.7476135787198,85.79222952765733,3.87,13.481584934475823,-0.06707529754371677
231.5614482759,9.023459906,0.96,0.04,0.025542892343865847,0.0005231119378581435,0.9395983478613585,0.06040165213864139,0.9812181991001367,0.018781800899863324,0.024000059445896893,0.0015428328979689512,0.0005132869535929502,9.824984265193327e-06,12.734616220753802,0.025374625064564105,0.0005524979746710031,309.1473760575555,82.3795680252517,9.477202930405587,77.7476135787198,85.79222952765733,3.87,13.456680805501676,-0.06494641849424276
231.5614482759,9.0388983707,0.96,0.04,0.025537324058286744,0.000524106125552946,0.9416706271124672,0.058329372887532774,0.9818810491140899,0.018118950885910055,0.024047747960741172,0.0014895760975455691,0.0005146098724050475,9.496253147898436e-06,12.734616220753802,0.025374625064564105,0.0005524979746710031,309.1473760575555,82.3795680252517,9.477202930405587,77.7476135787198,85.79222952765733,3.87,13.431797231956564,-0.06281123271269173
231.5614482759,9.0543368355,0.96,0.04,0.025531744404192352,0.0005251007095266543,0.9437418102896644,0.05625818971033551,0.9825421193983452,0.01745788060165486,0.024095374683865498,0.0014363697203268505,0.0005159335640358937,9.16714549076058e-06,12.734616220753802,0.025374625064564105,0.0005524979746710031,309.1473760575555,82.3795680252517,9.477202930405587,77.7476135787198,85.79222952765733,3.87,13.406934373780407,-0.06066984028680622
231.5614482759,9.0697753003,0.96,0.04,0.025526153411429223,0.000526095690071362,0.9458118857675455,0.054188114232454516,0.9832014216544268,0.016798578345573113,0.02414293929445554,0.0013832141169736853,0.0005172580304044299,8.837659666932126e-06,12.734616220753802,0.025374625064564105,0.0005524979746710031,309.1473760575555,82.3795680252517,9.477202930405587,77.7476135787198,85.79222952765733,3.87,13.382092391725937,-0.058522341123003585
231.5614482759,9.085213765,0.96,0.04,0.025520551110493294,0.0005270910674808467,0.9478808418349244,0.052119158165075605,0.9838589675120963,0.01614103248790378,0.0241904414707056,0.0013301096397876958,0.0005185832734365545,8.507794044292229e-06,12.734616220753802,0.025374625064564105,0.0005524979746710031,309.1473760575555,82.3795680252517,9.477202930405587,77.7476135787198,85.79222952765733,3.87,13.357271447423678,-0.05636883639416723
235.0682758621,9.8456793586,0.96,0.04,0.02539255517692796,0.000565975775703746,0.8908201021069893,0.10917989789301083,0.964102759458456,0.035897240541543994,0.02262019859546832,0.002772356581459638,0.0005456588071426216,2.031696856112432e-05,11.977724983588752,0.025076578680007018,0.0006261553148585872,309.1473760575555,82.3795680252517,10.771841112999395,77.6896770436046,85.75078229231386,3.87,13.281756143040155,-0.11083803531896841
235.0682758621,9.8622120003,0.96,0.04,0.025387212595859153,0.0005670376728409375,0.8927964645022767,0.10720353549772327,0.9647897428459883,0.03521025715401176,0.022665613649150717,0.002721598946708434,0.0005470721305641957,1.9965542276741804e-05,11.977724983588752,0.025076578680007018,0.0006261553148585872,309.1473760575555,82.3795680252517,10.771841112999395,77.6896770436046,85.75078229231386,3.87,13.257957775700891,-0.1090152596760543
235.0682758621,9.8787446419,0.96,0.04,0.025381858824603455,0.000568100012449275,0.8947719897809555,0.1052280102190445,0.9654748544713941,0.03452514552860591,0.022710976324829737,0.002670882499773717,0.000548486276844661,1.9613735604614046e-05,11.977724983588752,0.025076578680007018,0.0006261553148585872,309.1473760575555,82.3795680252517,10.771841112999395,77.6896770436046,85.75078229231386,3.87,13.234176104446163,-0.10718545775605115
235.0682758621,9.8952772836,0.96,0.04,0.02537649387693069,0.000569162794888839,0.8967466699471301,0.10325333005286991,0.9661581058798293,0.03384189412017064,0.022756286379071337,0.002620207497859357,0.0005499012478470704,1.926154704176849e-05,11.977724983588752,0.025076578680007018,0.0006261553148585872,309.1473760575555,82.3795680252517,10.771841112999395,77.6896770436046,85.75078229231386,3.87,13.210411243593251,-0.10534869731091412
235.0682758621,9.9118099252,0.96,0.04,0.025371117767075464,0.0005702260205196569,0.8987204969336898,0.10127950306631026,0.9668395085472165,0.03316049145278356,0.02280154356738923,0.0025695741996862383,0.0005513170454400601,1.8908975079596865e-05,11.977724983588752,0.025076578680007018,0.0006261553148585872,309.1473760575555,82.3795680252517,10.771841112999395,77.6896770436046,85.75078229231386,3.87,13.18666330823469,-0.1035050469559664
