T,P,z_carbon dioxide,z_argon,z_methane,rho_l,rho_v,x_carbon dioxide,x_argon,x_methane,y_carbon dioxide,y_argon,y_methane,rhoL1_carbon dioxide,rhoL2_argon,rhoL3_methane,rhoV1_carbon dioxide,rhoV2_argon,rhoV3_methane,gamma0_carbon dioxide,rhoL0_carbon dioxide,rhoV0_carbon dioxide,Tc_carbon dioxide,Pc_carbon dioxide,Psat0_carbon dioxide,gamma_wsd,gamma_cDFT_minus_wsd_corrected,gamma_cDFT_minus_wsd_uncorrected
243.3496206897,18.0657025201,0.97,0.01,0.02,0.02419017491034944,0.0010577460461431959,0.9793501830610707,0.005474543867552773,0.015175273071376517,0.8135700953769336,0.08571153062467694,0.10071837399838951,0.023690652226730044,0.00013243017371048247,0.0003670925099089137,0.0008605505516452943,9.066103262713348e-05,0.00010653446187076817,10.229057116897868,0.024337680388765447,0.0008323526862789582,309.1473760575555,82.3795680252517,14.351102215865701,9.450541272054576,0.05278870753784837,-0.1464780620171986
243.3496206897,18.2366352749,0.97,0.01,0.02,0.02418479835401993,0.001068174343464829,0.9785289653725125,0.005811377068601089,0.015659657558886302,0.8068892294980465,0.09010461806827047,0.10300615243368288,0.023665525711101965,0.00014054698256329277,0.00037872566035466917,0.0008618983729679176,9.624744124822397e-05,0.0001100285292486873,10.229057116897868,0.024337680388765447,0.0008323526862789582,309.1473760575555,82.3795680252517,14.351102215865701,9.42072960431872,0.05308483579264056,-0.153626277223335
243.3496206897,18.4075680298,0.97,0.01,0.02,0.024179536812185917,0.0010786069756139416,0.9777181699654037,0.006155078944717644,0.01612675108987857,0.8003383840597805,0.09451945504255953,0.10514216089765992,0.023640772482621527,0.00014882695792571072,0.0003899373716386783,0.0008632505638984691,0.00010194934354013305,0.00011340706817533939,10.229057116897868,0.024337680388765447,0.0008323526862789582,309.1473760575555,82.3795680252517,14.351102215865701,9.39138436851773,0.053217032599745195,-0.16080909140721644
243.3496206897,18.5785007846,0.97,0.01,0.02,0.02417438748210264,0.001089044011538137,0.9769175407439641,0.006505484398757768,0.016576974857278118,0.7939138415540096,0.09895297485442855,0.10713318359156182,0.023616383168007384,0.00015726610061434382,0.00040073821348091435,0.0008646071148216315,0.00010776414468909926,0.00011667275202740619,10.229057116897868,0.024337680388765447,0.0008323526862789582,309.1473760575555,82.3795680252517,14.351102215865701,9.36249284998449,0.05319024835598185,-0.16802531051311043
243.3496206897,18.7494335394,0.97,0.01,0.02,0.02416934740667168,0.0010994855386404676,0.9761268090691376,0.006862420334757536,0.01701077059610487,0.7876120111546028,0.10340210189809912,0.10898588694729812,0.023592347961357864,0.00016586022112136304,0.0004111392241924541,0.0008659680163240204,0.00011368911570198803,0.00011982840661445918,10.229057116897868,0.024337680388765447,0.0008323526862789582,309.1473760575555,82.3795680252517,14.351102215865701,9.334041978986209,0.05300957764067604,-0.17527363746077462
243.3496206897,18.9203662943,0.97,0.01,0.02,0.024164413501565507,0.0011099316609221364,0.9753456961028576,0.007225707167305112,0.017428596729837372,0.7814294247371675,0.10786377402358897,0.11070680123924344,0.0235686567076017,0.0001746049758319863,0.00042115181813182263,0.0008673332592919539,0.00011972141785533211,0.0001228769837748503,10.229057116897868,0.024337680388765447,0.0008323526862789582,309.1473760575555,82.3795680252517,14.351102215865701,9.306018423007549,0.05268022440799491,-0.18255268551304304
243.3496206897,19.0912990491,0.97,0.01,0.02,0.024159582581567793,0.0011203824971039494,0.9745739150771575,0.00759516028148077,0.017830924641361694,0.7753627330331402,0.1123349630262088,0.11230230394065102,0.023545298983148423,0.00018349590204067836,0.0004307876963786899,0.0008687028349970125,0.00012585812638738365,0.0001258215357195533,10.229057116897868,0.024337680388765447,0.0008323526862789582,309.1473760575555,82.3795680252517,14.351102215865701,9.278408674869754,0.05220746805532528,-0.18986099208543195
243.3496206897,19.2622318039,0.97,0.01,0.02,0.024154851385757282,0.0011308381787684676,0.9738111734568393,0.007970591423546752,0.0182182351196139,0.7694087018895862,0.1168126930871212,0.11377860502329261,0.02352226417263986,0.00019252845129236337,0.0004400587618250578,0.0008700767351734305,0.00013209625310768008,0.00012866519048735704,10.229057116897868,0.024337680388765447,0.0008323526862789582,309.1473760575555,82.3795680252517,14.351102215865701,9.251199135591621,0.05159663120282332,-0.19719703237592512
243.3496206897,19.4331645588,0.97,0.01,0.02,0.024150216601236306,0.0011412988485427838,0.9730571749708083,0.008351810006549148,0.018591015022642463,0.7635642086135443,0.12129405706317672,0.11514173432327907,0.023499541540932117,0.00020169802067053472,0.0004489770396336536,0.0008714549520791201,0.0001384327676612863,0.00013141112880237752,10.229057116897868,0.024337680388765447,0.0008323526862789582,309.1473760575555,82.3795680252517,14.351102215865701,9.224376191166849,0.05085303069155067,-0.2045592514587824
243.3496206897,19.6040973136,0.97,0.01,0.02,0.024145674885177784,0.0011517646583535774,0.9723116214934179,0.008738624318975874,0.018949754187606284,0.7578262383859793,0.1257762305867952,0.1163975310272256,0.023477120299660106,0.00021099998174969957,0.0004575546037679776,0.0008728374785460042,0.00014486461725080096,0.0001340625625567724,10.229057116897868,0.024337680388765447,0.0008323526862789582,309.1473760575555,82.3795680252517,14.351102215865701,9.19792628266804,0.04998201546698766,-0.21194601126891044
