,temperature,pressure,z_carbon dioxide,z_hydrogen,z_nitrogen,z_argon,z_methane,z_oxygen,z_carbon monoxide,z_hydrogen sulfide
14897,290.0,60.65774308308809,0.96,0.0,0.01,0.03,0.0,0.0,0.0,0.0
4233,290.0,78.70380564238336,0.9500000000000002,0.031349032073306,0.0,0.0,0.0038762195156032,0.0,0.0,0.0147747484110907
18449,225.0,17.718724153341014,0.9700000000000004,0.0074631004355608,0.0079014319359245,0.003992573610865,0.0099051237458289,3.7883113831758814e-05,0.0006994968989845,3.902590042765682e-07
17511,235.0,25.432798976572947,0.9700000000000002,0.0067154310761333,0.0113398971644284,0.0022100754528297,0.0096469997787935,2.0221455921324004e-05,6.297044648320028e-05,4.40462541037571e-06
8743,210.0,7.709020047264813,0.96,0.0,0.0041702958087317,0.0,0.0,0.0358297041912682,0.0,0.0
1669,265.0,31.98359474731029,0.97,0.0,0.0,0.0126851236084495,0.0,0.0109770524424983,0.0063378239490521,0.0
7446,240.0,61.50316828289337,0.97,0.0185590238347215,0.0114409761652784,0.0,0.0,0.0,0.0,0.0
12543,275.0,43.91777305780148,0.9600000000000004,0.003009626072162,0.0046215579088991,0.0057445446932861,0.0,0.0131967288628679,0.0,0.0134275424627846
8541,205.0,81.74524932329848,0.97,0.0190963643675511,0.0,0.0036144605811676,0.0007595692083829,0.0004556347188307,0.0060739711240675,0.0
3038,275.0,43.75027504047584,0.98,0.0084998019720903,0.0020816526704039,0.0,0.0076379325133379,0.0,0.0,0.0017806128441678
13802,230.0,10.291908624068986,0.97,0.0,0.0,0.0,0.01,0.0,0.0,0.02
17201,275.0,53.66783402355642,0.96,0.01,0.0,0.0,0.0,0.0,0.03,0.0
8286,275.0,52.17203273399444,0.9600000000000002,0.025521842323906,0.0,0.0102109230317582,0.0,0.0,0.0,0.0042672346443356
15897,205.0,7.552799301506582,0.95,0.0,0.01,0.0,0.0,0.02,0.02,0.0
15571,235.0,50.09845484502388,0.96,0.02,0.01,0.0,0.0,0.01,0.0,0.0
14054,260.0,37.46742333531999,0.95,0.0,0.01,0.04,0.0,0.0,0.0,0.0
9370,235.0,35.332182960693835,0.9600000000000004,0.0036082422595,0.0195052515461021,0.0,0.0026124876871617,0.0092639920313291,0.0023813256183808,0.0026287008575261
16096,205.0,8.504664695925989,0.98,0.01,0.01,0.0,0.0,0.0,0.0,0.0
10744,245.0,24.12467449537545,0.98,0.0,0.0,0.0,0.0,0.02,0.0,0.0
12237,220.0,45.07090008598673,0.9500000000000004,0.0112037948849288,0.0137490003520045,0.0186504131602375,0.0,0.0,0.0016617277863489,0.00473506381648
5323,250.0,19.39448239099253,0.9800000000000002,0.0027900659947176,0.0051896876334928,0.0031479159606157,0.0,0.0064401637300932,0.0,0.0024321666810805
11026,295.0,75.04816611978127,0.95,0.0161563323497004,0.0,0.0,0.0338436676502996,0.0,0.0,0.0
5078,225.0,23.10704429901475,0.95,0.0061527010969512,0.0,0.0224231159211688,0.0081212751092164,0.0,0.0,0.0133029078726635
17560,260.0,34.65527653777967,0.9700000000000002,0.0067154310761333,0.0113398971644284,0.0022100754528297,0.0096469997787935,2.0221455921324004e-05,6.297044648320028e-05,4.40462541037571e-06
13810,235.0,11.79225716021835,0.97,0.0,0.0,0.0,0.01,0.0,0.0,0.02
16013,260.0,44.40682044425033,0.95,0.0,0.01,0.0,0.0,0.02,0.02,0.0
11877,230.0,16.04792526003179,0.9800000000000004,0.0013085246672327,0.0072706058397883,0.0022148755073425,0.0,0.0031017465823478,0.0061042474032883,0.0
18158,270.0,35.31510533080875,0.9900000000000004,0.0001890013054539,0.0082922881095098,0.001000371481035,0.0003048585937377,1.1234968110484847e-05,0.0001985508604742,3.6946816785260064e-06
8352,205.0,21.808844064713643,0.9600000000000002,0.0018482781815333,0.0,0.0067977552657728,0.0,0.0102161830346863,0.0211377835180074,0.0
816,220.0,10.76639139203332,0.98,0.0,0.0,0.0035904816670913,0.0,0.0,0.0164095183329087,0.0
4753,260.0,26.476097643467675,0.9500000000000002,0.018906108017535,0.0022674691696402,0.0,0.0,0.0078288903707999,0.0,0.0209975324420248
11372,265.0,32.33223100548245,0.99,0.0,0.0013433706565824,0.0,0.0,0.0054685338854929,0.0,0.0031880954579246
10457,200.0,3.067332884201978,0.99,0.0,0.0,0.0042142943595979,0.0,0.0,0.0,0.005785705640402
3135,225.0,18.915438568115228,0.9800000000000004,0.0167305950184544,0.0,0.0,0.0,0.0010822452684579,0.0012635063735873,0.0009236533395001
18440,220.0,20.235994386859065,0.9700000000000004,0.0074631004355608,0.0079014319359245,0.003992573610865,0.0099051237458289,3.7883113831758814e-05,0.0006994968989845,3.902590042765682e-07
4976,270.0,39.40210384870771,0.9500000000000002,0.0,0.0148235104099754,0.0,0.0271967461301069,0.0016830993788554,0.0,0.0062966440810621
13956,210.0,21.94378250569579,0.95,0.0,0.01,0.04,0.0,0.0,0.0,0.0
10668,210.0,6.596833950745885,0.98,0.0,0.0,0.0,0.0,0.02,0.0,0.0
10400,265.0,37.67866369353007,0.9600000000000002,0.0015463321755183,0.0,0.0186927613164081,0.0197609065080735,0.0,0.0,0.0
7621,230.0,10.888254312993562,0.99,0.0,0.0,0.0076466531757139,0.0,0.0,0.0,0.002353346824286
11946,265.0,34.48551187502403,0.9800000000000004,0.0013085246672327,0.0072706058397883,0.0022148755073425,0.0,0.0031017465823478,0.0061042474032883,0.0
13120,270.0,37.8984445264036,0.95,0.0,0.0210349895491273,0.0078867947739883,0.0210552088152379,0.0,0.0,2.3006861646331145e-05
2317,205.0,7.373799479262275,0.96,0.0,0.0008850414162001,0.0391149585837999,0.0,0.0,0.0,0.0
6805,210.0,8.20122210469481,0.98,0.0032804268340711,0.0,0.0121022699577614,0.0038675003836198,0.0007498028245476,0.0,0.0
14207,235.0,32.12254559382679,0.95,0.0,0.04,0.0,0.01,0.0,0.0,0.0
9690,205.0,3.4417346941221187,0.9500000000000004,0.0218679702186107,0.0,0.0,0.0,0.0037462674585969,0.0017907943601605,0.0225949679626316
8239,250.0,54.68414614506055,0.9600000000000002,0.025521842323906,0.0,0.0102109230317582,0.0,0.0,0.0,0.0042672346443356
1527,285.0,53.892318232594654,0.9900000000000002,0.0018331999229532,0.0023678875806493,0.0,0.0054605197736359,0.0,0.0003383927227614,0.0
14633,250.0,25.115950749004853,0.98,0.0,0.01,0.0,0.0,0.0,0.01,0.0
6274,240.0,15.302365829767592,0.9900000000000002,0.0054150379613553,0.0,0.0,0.0,0.0,0.0028630744407479,0.0017218875978966
7348,285.0,65.19142128966716,0.95,0.0020028725879825,0.0,0.0479971274120174,0.0,0.0,0.0,0.0
16518,220.0,6.548465309251103,0.97,0.0,0.0,0.0,0.01,0.0,0.0,0.02
3186,250.0,30.480500344356223,0.9800000000000004,0.0167305950184544,0.0,0.0,0.0,0.0010822452684579,0.0012635063735873,0.0009236533395001
16602,260.0,26.538334970237848,0.97,0.0,0.0,0.0,0.01,0.0,0.0,0.02
5364,270.0,35.75403991109839,0.9800000000000002,0.0027900659947176,0.0051896876334928,0.0031479159606157,0.0,0.0064401637300932,0.0,0.0024321666810805
11027,295.0,75.79582683747533,0.95,0.0161563323497004,0.0,0.0,0.0338436676502996,0.0,0.0,0.0
