temperature,pressure,z_carbon dioxide,z_nitrogen,z_methane,z_oxygen,z_hydrogen sulfide,Tc,Pc,Tr,Pr,P_bubble,P_dew,liquid_density,vapor_density,x_carbon dioxide,x_nitrogen,x_methane,x_oxygen,x_hydrogen sulfide,y_carbon dioxide,y_nitrogen,y_methane,y_oxygen,y_hydrogen sulfide,gamma,interfacial_thickness,E_carbon dioxide,E_nitrogen,E_methane,E_oxygen,E_hydrogen sulfide,gamma0_CO2,rhoL0_CO2,rhoV0_CO2,Tc_CO2,Psat_CO2
200.0,6.302167174464609,0.95000095000095,0.008035008035008036,0.02536902536902537,0.012456012456012456,0.00413900413900414,306.09,85.54,0.6534025940082983,0.07367508971784673,12.65651718052879,2.4715828362769594,1199.0653991716144,12.940055661107204,0.9704458895566728,0.0017515672772856418,0.018006490819844186,0.005520077020024198,0.004275975326173249,0.3926782536377633,0.17931964969353398,0.2260694283138814,0.2015274561964243,0.0004052121583970469,18.151706135347574,0.6595869248117268,1.0000000010731693,5.381863422339432,3.257012717963046,3.5409049294347192,1.0000000005248537,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,6.648155220812324,0.95000095000095,0.008035008035008036,0.02536902536902537,0.012456012456012456,0.00413900413900414,306.09,85.54,0.6534025940082983,0.07771984125335894,12.65651718052879,2.4715828362769594,1197.833337133109,13.557433472202176,0.9688631952495634,0.0019904463113424673,0.01885034224539893,0.006034189693019432,0.0042618265006758435,0.3736260820045685,0.1927390779722731,0.2245608540918888,0.20868807277175722,0.00038591315951238734,18.029417597484496,0.6635435043552256,1.000000001030993,5.330907816715992,3.2260305132928626,3.5117201490426093,1.0000000005088903,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,6.994143267160041,0.95000095000095,0.008035008035008036,0.02536902536902537,0.012456012456012456,0.00413900413900414,306.09,85.54,0.6534025940082983,0.08176459278887117,12.65651718052879,2.4715828362769594,1196.6860927691357,14.180553705633432,0.9673591734325517,0.002243421548123953,0.019610052259790376,0.0065380785663470735,0.004249274193186888,0.35648365364966195,0.2060625750164357,0.22228146649650585,0.21480368565080074,0.00036861918659569646,17.911309609843187,0.6674145332740536,1.000000001025996,5.281856662514212,3.196578704161212,3.484033426000423,1.0000000005284593,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,7.340131313507758,0.95000095000095,0.008035008035008036,0.02536902536902537,0.012456012456012456,0.00413900413900414,306.09,85.54,0.6534025940082983,0.08580934432438342,12.65651718052879,2.4715828362769594,1195.6156877809035,14.80879985975854,0.9659283850145659,0.002510273785209847,0.02029389661771534,0.007029427575943726,0.004238017006565202,0.3409802171074105,0.21928545099570884,0.2194278068997381,0.21995349701289155,0.00035302798425106683,17.79701195759685,0.6711910100543776,1.0000000005444265,5.234534054665226,3.1685145038915055,3.457655506295219,1.0000000000539724,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,7.686119359855473,0.95000095000095,0.008035008035008036,0.02536902536902537,0.012456012456012456,0.00413900413900414,306.09,85.54,0.6534025940082983,0.08985409585989564,12.65651718052879,2.4715828362769594,1194.6146754482338,15.441615001199715,0.9645655560372438,0.0027907112809860118,0.020909566230667632,0.007506338008353025,0.00422782844274937,0.3268937123012731,0.23239804648129503,0.21615491126338415,0.22421443317183473,0.00033889678221285665,17.68618609945824,0.6748803536867208,1.0000000006086933,5.188781866388106,3.1417088162613007,3.432438352082145,1.0000000000881142,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,8.03210740620319,0.95000095000095,0.008035008035008036,0.02536902536902537,0.012456012456012456,0.00413900413900414,306.09,85.54,0.6534025940082983,0.09389884739540787,12.65651718052879,2.4715828362769594,1193.676184305321,16.078503076888115,0.9632656420504492,0.0030843773962221733,0.021464127639971523,0.007967318764908905,0.004218534148448312,0.314040319053857,0.2453873847716516,0.21258492260101078,0.2276613456269585,0.0003260279465222165,17.578523844770473,0.678497801447761,1.000000000764105,5.14445767022555,3.1160457209151153,3.4082749800270427,1.000000000182302,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,8.378095452550905,0.95000095000095,0.008035008035008036,0.02536902536902537,0.012456012456012456,0.00413900413900414,306.09,85.54,0.6534025940082983,0.0979435989309201,12.65651718052879,2.4715828362769594,1192.7939292255783,16.71902769245062,0.9620238643761126,0.00339085906600716,0.021964016048910448,0.00841126339933549,0.0042099971096343294,0.30226658344164997,0.25823847757457485,0.2088138613107542,0.2303668189681443,0.0003142587048766775,17.47374623401433,0.6820723842323574,1.0000000006239722,5.101683258850523,3.0914213291341692,3.3850693065538207,1.0000000000984792,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,8.724083498898622,0.95000095000095,0.008035008035008036,0.02536902536902537,0.012456012456012456,0.00413900413900414,306.09,85.54,0.6534025940082983,0.10198835046643233,12.65651718052879,2.4715828362769594,1191.9622001130433,17.36280913663558,0.960835727577875,0.0037096959156283464,0.02241505095878453,0.008837417831251361,0.0042021077164606695,0.2914434101414587,0.27093536646318017,0.2049169770094127,0.2324007927629613,0.00030345362298710263,17.371601608058352,0.6855771894781534,1.0000000004997827,5.060180732108914,3.067742739650749,3.3627352233188073,1.0000000000507347,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,9.07007154524634,0.95000095000095,0.008035008035008036,0.02536902536902537,0.012456012456012456,0.00413900413900414,306.09,85.54,0.6534025940082983,0.10603310200194457,12.65651718052879,2.4715828362769594,1191.1758361301806,18.009520286102127,0.9596970246758587,0.004040389746812628,0.022822466478566183,0.009245342183888474,0.004194776914874042,0.28146142496713256,0.28346195168184135,0.20095299395209168,0.2338301304091811,0.00029349898975326725,17.27186337253607,0.6890162075857014,1.0000000004133058,5.019748293410429,3.044927034146957,3.3411957660052902,1.0000000000328884,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,9.416059591594054,0.95000095000095,0.008035008035008036,0.02536902536902537,0.012456012456012456,0.00413900413900414,306.09,85.54,0.6534025940082983,0.11007785353745679,12.65651718052879,2.4715828362769594,1190.4301913446093,18.658881885442906,0.9586038345679632,0.004382414072516378,0.0231909503197448,0.00963486966683138,0.004187931372944163,0.27222735674139026,0.2958026417155361,0.19696748644803988,0.23471821653733382,0.0002842985576999482,17.174327856505,0.6924324047924706,1.0000000003487652,4.980298823694959,3.02290025100454,3.3203822389450366,1.0000000000232736,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
