,temperature,pressure,z_carbon dioxide,z_hydrogen,z_nitrogen,z_argon,z_methane,z_oxygen,z_carbon monoxide,z_hydrogen sulfide
14988,240.0,16.45917855143956,0.95,0.0,0.0,0.05,0.0,0.0,0.0,0.0
10775,265.0,30.37481298757097,0.98,0.0,0.0,0.0,0.0,0.02,0.0,0.0
3878,205.0,7.820284930852672,0.95,0.0,0.0,0.0,0.0298371529662057,0.0,0.0090054264024817,0.0111574206313125
10306,220.0,8.475576566010828,0.9600000000000002,0.0015463321755183,0.0,0.0186927613164081,0.0197609065080735,0.0,0.0,0.0
3817,270.0,42.07606813833692,0.96,0.0,0.0,0.0006921309965303,0.0,0.0272824817088905,0.0120253872945791,0.0
7894,270.0,44.74715889547542,0.98,0.0087770567657829,0.0,0.0,0.0,0.0,0.0,0.011222943234217
16592,255.0,23.02351086475564,0.97,0.0,0.0,0.0,0.01,0.0,0.0,0.02
10295,215.0,5.51357068232188,0.9600000000000002,0.0015463321755183,0.0,0.0186927613164081,0.0197609065080735,0.0,0.0,0.0
8038,245.0,18.54489980794257,0.9800000000000002,0.0023490924837335,0.0014384260881545,0.0024760134139924,0.0132524367690595,0.0,0.0004840312450599,0.0
12864,235.0,25.886177392232423,0.9500000000000004,0.0035598544708459,0.0,0.0324731941294169,0.0,0.010108170389748,0.0038587810099889,0.0
17701,230.0,14.58422465747318,0.97,0.0007490788263492,0.0016569073288068,0.0030507828209509,0.0244400817775425,1.431581458709072e-06,1.9647034171583413e-05,8.207063072023786e-05
2732,215.0,9.668378247599346,0.9900000000000002,0.0012110902023586,0.000100655683005,0.0,0.0071968246920378,0.0004342903727188,4.017847614251893e-05,0.0010169605737371
13769,215.0,5.312087077548214,0.97,0.0,0.0,0.0,0.01,0.0,0.0,0.02
8410,235.0,25.85221457224736,0.9600000000000002,0.0018482781815333,0.0,0.0067977552657728,0.0,0.0102161830346863,0.0211377835180074,0.0
13580,215.0,6.73521974106185,0.98,0.0,0.02,0.0,0.0,0.0,0.0,0.0
15697,200.0,6.328129294281963,0.95,0.0,0.0,0.02,0.0,0.0,0.03,0.0
2247,265.0,35.281939069099735,0.95,0.0022461540338648,0.0370200500439085,0.0,0.0,0.0,0.0,0.0107337959222266
10228,275.0,40.83607813262927,0.9800000000000004,0.0,0.0,0.0,0.0098069707131763,0.0072066354129923,0.0,0.0029863938738312
17357,255.0,24.268641900485683,0.97,0.0,0.0,0.0,0.0,0.0,0.03,0.0
16517,215.0,7.236256521875561,0.97,0.0,0.0,0.0,0.01,0.0,0.0,0.02
15961,235.0,25.18993294641787,0.95,0.0,0.01,0.0,0.0,0.02,0.02,0.0
10971,265.0,56.47140481934151,0.95,0.0161563323497004,0.0,0.0,0.0338436676502996,0.0,0.0,0.0
16553,235.0,12.622850239102426,0.97,0.0,0.0,0.0,0.01,0.0,0.0,0.02
17170,260.0,39.12354617806453,0.96,0.01,0.0,0.0,0.0,0.0,0.03,0.0
15080,285.0,59.3955229799758,0.95,0.0,0.0,0.05,0.0,0.0,0.0,0.0
14366,215.0,38.14790482994772,0.98,0.01,0.0,0.01,0.0,0.0,0.0,0.0
6725,265.0,33.18800611311832,0.9700000000000002,0.0020558406896235,0.0,0.0006119193260312,0.0104108785148232,0.0115955405686639,0.005325820900858,0.0
10635,290.0,56.57519547832451,0.99,0.0,0.0,0.0042142943595979,0.0,0.0,0.0,0.005785705640402
4272,210.0,12.456745732809868,0.99,0.0029715201844185,0.0,0.0,0.0045889927616255,0.0024394870539559,0.0,0.0
7405,220.0,49.12313165981657,0.97,0.0185590238347215,0.0114409761652784,0.0,0.0,0.0,0.0,0.0
14011,240.0,18.715145356188863,0.95,0.0,0.01,0.04,0.0,0.0,0.0,0.0
11747,265.0,39.58145797204162,0.98,0.0082265201045087,0.0074981249813925,0.0,0.0011315097552597,0.003143845158839,0.0,0.0
6612,205.0,18.511269263663813,0.9700000000000002,0.0020558406896235,0.0,0.0006119193260312,0.0104108785148232,0.0115955405686639,0.005325820900858,0.0
10862,210.0,52.45529603176138,0.95,0.0161563323497004,0.0,0.0,0.0338436676502996,0.0,0.0,0.0
14438,255.0,25.052620447176807,0.98,0.01,0.0,0.01,0.0,0.0,0.0,0.0
2069,275.0,56.19285519042006,0.9600000000000002,0.0243116931975149,0.0,0.0045569689625575,0.0021743998911467,0.0,0.0089569379487807,0.0
6136,270.0,34.150862977236834,0.9900000000000002,0.0,0.0,0.0014447902373025,0.000885136592088,0.0,0.0,0.0076700731706093
9730,225.0,37.96299241571406,0.9500000000000004,0.0218679702186107,0.0,0.0,0.0,0.0037462674585969,0.0017907943601605,0.0225949679626316
13134,275.0,49.07275953452289,0.95,0.0,0.0210349895491273,0.0078867947739883,0.0210552088152379,0.0,0.0,2.3006861646331145e-05
13620,235.0,12.94775105433363,0.98,0.0,0.02,0.0,0.0,0.0,0.0,0.0
11672,230.0,9.833728133818198,0.98,0.0082265201045087,0.0074981249813925,0.0,0.0011315097552597,0.003143845158839,0.0,0.0
13154,285.0,60.28714244925022,0.95,0.0,0.0210349895491273,0.0078867947739883,0.0210552088152379,0.0,0.0,2.3006861646331145e-05
18856,235.0,11.93173130408984,0.9700000000000004,0.0011788408603734,0.0190798614698971,0.0020160344015286,0.0071593933243206,9.871084268381651e-06,0.0005535543152464,2.444544365205282e-06
16818,275.0,40.94124768001615,0.95,0.0,0.01,0.03,0.0,0.0,0.0,0.01
17957,265.0,31.68269180330204,0.9700000000000002,0.0027437488900767,0.0007509336616747,0.0018004065823258,0.0245796928555922,9.125664169751543e-06,3.4823956615641697e-05,8.126838954503732e-05
6718,260.0,32.97584730909543,0.9700000000000002,0.0020558406896235,0.0,0.0006119193260312,0.0104108785148232,0.0115955405686639,0.005325820900858,0.0
15463,280.0,73.69522131387968,0.96,0.03,0.0,0.0,0.0,0.01,0.0,0.0
12619,210.0,49.63651325561523,0.9600000000000002,0.0106397823813711,0.0,0.005043185819572,0.0029800508233207,0.0007588278003489,0.0,0.0205781531753872
15727,215.0,9.146427446335748,0.95,0.0,0.0,0.02,0.0,0.0,0.03,0.0
4037,285.0,55.42825518454947,0.95,0.0,0.0,0.0,0.0298371529662057,0.0,0.0090054264024817,0.0111574206313125
12589,295.0,72.95530549269691,0.9600000000000004,0.003009626072162,0.0046215579088991,0.0057445446932861,0.0,0.0131967288628679,0.0,0.0134275424627846
14926,205.0,25.040402112139763,0.95,0.0,0.0,0.05,0.0,0.0,0.0,0.0
521,270.0,37.82673160778225,0.9700000000000002,0.0133476884036825,0.0,0.0,0.0,0.004826115958439,0.0094420444563928,0.0023841511814855
18568,285.0,54.99375764051242,0.9700000000000004,0.0074631004355608,0.0079014319359245,0.003992573610865,0.0099051237458289,3.7883113831758814e-05,0.0006994968989845,3.902590042765682e-07
14917,205.0,3.540983323591228,0.95,0.0,0.0,0.05,0.0,0.0,0.0,0.0
15084,285.0,66.14812805893303,0.95,0.0,0.0,0.05,0.0,0.0,0.0,0.0
5751,265.0,43.60735308356866,0.96,0.0,0.0,0.0,0.0,0.04,0.0,0.0
1047,240.0,19.178910343824285,0.9900000000000002,0.0014780298623429,0.0052214621304845,0.0,0.0015734753855824,0.0003996472235515,0.0013273853980386,0.0
3184,250.0,23.12966002072309,0.9800000000000004,0.0167305950184544,0.0,0.0,0.0,0.0010822452684579,0.0012635063735873,0.0009236533395001
2964,235.0,34.68399215223997,0.98,0.0084998019720903,0.0020816526704039,0.0,0.0076379325133379,0.0,0.0,0.0017806128441678
