temperature,pressure,z_carbon dioxide,z_hydrogen,Tc,Pc,P_bubble,P_dew,liquid_density,vapor_density,x_carbon dioxide,x_hydrogen,y_carbon dioxide,y_hydrogen,gamma,interfacial_thickness,E_carbon dioxide,E_hydrogen
210.0,25.76454277218028,0.95,0.05,306.8,98.98,198.93585112476094,4.109379228107697,1187.89938159864,14.246786461480026,0.9935878306867354,0.006412169313264543,0.17746110584494285,0.8225388941550571,16.649685217058384,0.696634408474057,1.000000000697327,1.5534560778900597
210.0,47.409706316252866,0.95,0.05,306.8,98.98,198.93585112476094,4.109379228107697,1185.1615545927104,18.211004907585405,0.9874593188214729,0.012540681178527142,0.10979273447025825,0.8902072655297417,15.803439949002518,0.7394539158770244,1.0000000000228408,1.4839723946489314
210.0,69.05486986032545,0.95,0.05,306.8,98.98,198.93585112476094,4.109379228107697,1182.6022861006225,22.26594811360126,0.9815380331345107,0.01846196686548922,0.08537898702071689,0.914621012979283,15.026715279729997,0.7787385792069295,1.0000000017224464,1.421259396747174
210.0,90.70003340439803,0.95,0.05,306.8,98.98,198.93585112476094,4.109379228107697,1180.2153570989328,26.39961329395961,0.9758182235871222,0.02418177641287773,0.07332063251172106,0.926679367488279,14.31530173561718,0.8140299808447581,1.0,1.3657811972232354
210.0,112.34519694847063,0.95,0.05,306.8,98.98,198.93585112476094,4.109379228107697,1177.9939518952126,30.597717124303358,0.9702935821163383,0.029706417883661768,0.06649264420915434,0.9335073557908456,13.663974148964321,0.8457347888420579,1.0,1.316787971321173
210.0,133.9903604925432,0.95,0.05,306.8,98.98,198.93585112476094,4.109379228107697,1175.93065014139,34.843229099738366,0.96495722529594,0.035042774704060003,0.06236016623714319,0.9376398337628568,13.067522424252909,0.8743961025848961,1.0,1.274913053365885
210.0,155.6355240366158,0.95,0.05,306.8,98.98,198.93585112476094,4.109379228107697,1174.0175095412144,39.117022509290436,0.9598017606594299,0.04019823934057009,0.05978964043799968,0.9402103595620003,12.520963384862734,0.9006987699603514,1.0,1.2381279407932033
210.0,177.28068758068838,0.95,0.05,306.8,98.98,198.93585112476094,4.109379228107697,1172.2462133965766,43.398869089569615,0.9548194138220093,0.04518058617799077,0.058194725017915366,0.9418052749820847,12.019655441071276,0.924862503045258,1.0,1.2062039397712796
210.0,198.92585112476095,0.95,0.05,306.8,98.98,198.93585112476094,4.109379228107697,1170.6082515460134,47.66854121499587,0.9500021882433922,0.049997811756607766,0.057239786253732584,0.9427602137462674,11.55928438951303,0.9472678662154543,1.0,1.1788089151338301
220.0,6.379992715915453,0.95,0.05,306.8,98.98,163.0060537112017,6.369992715915453,1157.6382456167748,15.779843269084585,0.9998729796072857,0.0001270203927141929,0.9486394221021187,0.05136057789788126,15.277703095599678,0.7045019105097623,1.0000000000981566,1.5018812620055513
220.0,23.78177727094726,0.95,0.05,306.8,98.98,163.0060537112017,6.369992715915453,1154.5579606573651,19.117527012876163,0.993799446069043,0.006200553930957058,0.28999443504901545,0.7100055649509845,14.598058497216034,0.7392511993839413,1.0000000005134568,1.453639176166315
220.0,41.18356182597907,0.95,0.05,306.8,98.98,163.0060537112017,6.369992715915453,1151.6007454327669,22.626854660044135,0.9878678458385939,0.012132154161406188,0.1852573755185126,0.8147426244814874,13.955911960777168,0.7728487959143628,1.000000000106163,1.408543796238945
220.0,58.585346381010865,0.95,0.05,306.8,98.98,163.0060537112017,6.369992715915453,1148.7582351683468,26.225745300105434,0.98207083511556,0.017929164884440026,0.14337690037893636,0.8566230996210636,13.35303068911438,0.8045625956755856,1.0,1.3660539793026287
220.0,75.98713093604267,0.95,0.05,306.8,98.98,163.0060537112017,6.369992715915453,1146.0284003158438,29.903707042925767,0.9764066316336136,0.02359336836638638,0.12134374085398168,0.8786562591460183,12.788482052058308,0.8341248854858876,1.000000000055629,1.3260968432585771
220.0,93.38891549107448,0.95,0.05,306.8,98.98,163.0060537112017,6.369992715915453,1143.4091360848283,33.65375213355289,0.970873382716885,0.02912661728311511,0.10810926766326123,0.8918907323367388,12.260406998409394,0.8619431020592018,1.00000000054759,1.290609210641564
220.0,110.79070004610628,0.95,0.05,306.8,98.98,163.0060537112017,6.369992715915453,1140.898035670117,37.46806919137248,0.9654689620170682,0.03453103798293177,0.09954389055449361,0.9004561094455062,11.766655191141245,0.887806500774949,1.0,1.2580223632983736
220.0,128.1924846011381,0.95,0.05,306.8,98.98,163.0060537112017,6.369992715915453,1138.4923570014812,41.337510839629424,0.9601909363078116,0.03980906369218847,0.09375054353018175,0.9062494564698182,11.305036291240842,0.9122062365412666,1.0000000002106488,1.2289612272503807
