temperature,pressure,z_carbon dioxide,z_hydrogen,z_argon,z_carbon monoxide,Tc,Pc,Tr,Pr,P_bubble,P_dew,liquid_density,vapor_density,x_carbon dioxide,x_hydrogen,x_argon,x_carbon monoxide,y_carbon dioxide,y_hydrogen,y_argon,y_carbon monoxide,gamma,interfacial_thickness,E_carbon dioxide,E_hydrogen,E_argon,E_carbon monoxide,gamma0_CO2,rhoL0_CO2,rhoV0_CO2,Tc_CO2,Psat_CO2
200.0,47.15947795294354,0.95,0.027854,0.007245,0.014901,305.83,92.92,0.6539580812869895,0.5075277437897496,84.24799926552214,2.5237282764274154,1204.3533359050277,32.519310096999384,0.9670218550410419,0.01438481030452399,0.00655101105302542,0.012042323601408906,0.07677896375757305,0.7188233305970962,0.04284662778714677,0.16155107785818396,15.536159849034405,0.7753878428082572,1.0000000003386944,1.6077719025234516,3.6023900860841103,4.514405595171316,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,49.94763497755303,0.95,0.027854,0.007245,0.014901,305.83,92.92,0.6539580812869895,0.5375337384583838,84.24799926552214,2.5237282764274154,1203.5022790071027,33.61006612248508,0.9656146594444533,0.015393904460499392,0.006636966515496207,0.012354469579550973,0.07417859724106432,0.7267368922421478,0.04134940946322901,0.15773510105355898,,,,,,,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,52.73579200216252,0.95,0.027854,0.007245,0.014901,305.83,92.92,0.6539580812869895,0.5675397331270181,84.24799926552214,2.5237282764274154,1202.6666697419373,34.680081334667655,0.964235963937176,0.01640555367881355,0.006714441655435763,0.012644040728574614,0.07187886709576902,0.7340318674010688,0.03997158575538357,0.1541176797477786,,,,,,,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,55.52394902677201,0.95,0.027854,0.007245,0.014901,305.83,92.92,0.6539580812869895,0.5975457277956523,84.24799926552214,2.5237282764274154,1201.8451937472137,35.73208686172712,0.9628829309247027,0.017419031515994516,0.0067845875974711116,0.012913449961831684,0.06983512208405926,0.7407735068623977,0.0387004838826147,0.15069088717092824,15.02991737618851,0.7963556325442724,1.0,1.561716255057078,3.50644747167895,4.278936176331889,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,58.3121060513815,0.95,0.027854,0.007245,0.014901,305.83,92.92,0.6539580812869895,0.6275517224642865,84.24799926552214,2.5237282764274154,1201.0367035065156,36.768441945080454,0.9615531197828131,0.018433711413864063,0.006848363853750404,0.013164804949572345,0.06801121464218061,0.747018091085276,0.03752501435422705,0.14744567991831636,,,,,,,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,61.100263075990995,0.95,0.027854,0.007245,0.014901,305.83,92.92,0.6539580812869895,0.6575577171329208,84.24799926552214,2.5237282764274154,1200.240194443521,37.791190707339084,0.9602444221924027,0.019449051428149712,0.006906575538322176,0.013399950841125493,0.06637756403802933,0.7528144703622267,0.036435464976994875,0.14437250062274912,,,,,,,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,63.888420100600484,0.95,0.027854,0.007245,0.014901,305.83,92.92,0.6539580812869895,0.687563711801555,84.24799926552214,2.5237282764274154,1199.4547845731233,38.802109364656566,0.958955009187214,0.020464581506063274,0.006959902435376815,0.013620506871345894,0.06490972626173223,0.7582052817053648,0.03542331631872986,0.14146167571417304,14.562743390499424,0.815767252876605,1.0,1.5203448482906046,3.4215264778687637,4.068760853254877,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,66.67657712520996,0.95,0.027854,0.007245,0.014901,305.83,92.92,0.6539580812869895,0.7175697064701889,84.24799926552214,2.5237282764274154,1198.6796972153438,39.80274557133369,0.957683287621688,0.021479892871454943,0.007008921883742741,0.013827897623114335,0.06358732235937296,0.7632279239740363,0.03448107984858668,0.138703673818004,,,,,,,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,69.46473414981946,0.95,0.027854,0.007245,0.014901,305.83,92.92,0.6539580812869895,0.7475757011388233,84.24799926552214,2.5237282764274154,1197.9142463215912,40.794451287509794,0.9564278642396072,0.022494629150510925,0.007054126928560296,0.014023379681321455,0.06239322453779551,0.7679153486683937,0.03360215770398906,0.13608926908982177,,,,,,,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
200.0,72.25289117442895,0.95,0.027854,0.007245,0.014901,305.83,92.92,0.6539580812869895,0.7775816958074575,84.24799926552214,2.5237282764274154,1197.1578240157535,41.77841031125269,0.9551875158970299,0.02350847893468529,0.007095940821977342,0.01420806434630745,0.061312930446491956,0.7722967078148567,0.032780722055878925,0.1336096396827723,14.127001716863186,0.8339692645854229,1.0,1.4828370315589168,3.3450657076875943,3.8790791247124563,19.91263411996264,1222.376153128829,6.589392400662558,309.1473760575555,2.3922586739869414
