T,P,z_carbon dioxide,z_nitrogen,rho_l,rho_v,x_carbon dioxide,x_nitrogen,y_carbon dioxide,y_nitrogen,rhoL1_carbon dioxide,rhoL2_nitrogen,rhoV1_carbon dioxide,rhoV2_nitrogen,gamma0_carbon dioxide,rhoL0_carbon dioxide,rhoV0_carbon dioxide,Tc_carbon dioxide,Pc_carbon dioxide,Psat0_carbon dioxide,parachor_carbon dioxide,parachor_nitrogen,n_exp,gamma_parachor,gamma_cDFT_minus_parachor
213.476137931,10.7363227651,0.99,0.01,0.02675660703036914,0.000648613907730446,0.9908349044461582,0.009165095553841802,0.4568577444824465,0.5431422555175536,0.02651138017023921,0.0002452268601299285,0.0002963242869256772,0.0003522896208047688,16.773770310510738,0.026801884987988592,0.0002738411918940959,309.1473760575555,82.3795680252517,4.55207599480763,78.11542740924563,61.77794369140718,3.87,15.821430017665348,-0.25490480641095203
213.476137931,10.9618076799,0.99,0.01,0.026754946048011815,0.0006625107072747088,0.9905006047465169,0.009499395253483072,0.448595795912899,0.551404204087101,0.026500790240516135,0.0002541558074956791,0.00029719951803071565,0.00036531118924399314,16.773770310510738,0.026801884987988592,0.0002738411918940959,309.1473760575555,82.3795680252517,4.55207599480763,78.11542740924563,61.77794369140718,3.87,15.787008374260651,-0.2628533294216808
213.476137931,11.1872925947,0.99,0.01,0.026753284286172414,0.0006764237219399614,0.9901662875154089,0.00983371248459102,0.44066833538743677,0.5593316646125631,0.026490200180483665,0.0002630841056887464,0.0002980785155638572,0.0003783452063761041,16.773770310510738,0.026801884987988592,0.0002738411918940959,309.1473760575555,82.3795680252517,4.55207599480763,78.11542740924563,61.77794369140718,3.87,15.75260900464914,-0.27071079955121746
216.8451724138,5.3833581831,0.99,0.01,0.026547142918709236,0.00032125770066534647,0.9998336256257997,0.00016637437420027242,0.9808401085707217,0.01915989142927846,0.02654272615441933,4.416764289905443e-06,0.00031510243799977885,6.155262665567676e-06,16.005351618721676,0.026547992239321628,0.000314681334848057,309.1473760575555,82.3795680252517,5.27203857108429,78.04166689954451,61.77794369140718,3.87,15.988680364653538,-0.004501894308919674
216.8451724138,5.6061444139,0.99,0.01,0.026545442917241972,0.00033443201095527966,0.9995006880829043,0.0004993119170957428,0.9447288970730026,0.05527110292699746,0.026532188461248808,1.3254455993163697e-05,0.00031594758485568766,1.8484426099592006e-05,16.005351618721676,0.026547992239321628,0.000314681334848057,309.1473760575555,82.3795680252517,5.27203857108429,78.04166689954451,61.77794369140718,3.87,15.955329563319683,-0.013440917331749347
216.8451724138,5.8289306446,0.99,0.01,0.0265437425385238,0.0003476232858701901,0.9991677846310058,0.0008322153689943048,0.9113203209218791,0.08867967907812091,0.026521652428032616,2.209011049118741e-05,0.00031679616443913976,3.082712143105034e-05,16.005351618721676,0.026547992239321628,0.000314681334848057,309.1473760575555,82.3795680252517,5.27203857108429,78.04166689954451,61.77794369140718,3.87,15.921997223246748,-0.0222869405627808
216.8451724138,6.0517168753,0.99,0.01,0.02654204172057886,0.0003608312830501884,0.9988349077748664,0.0011650922251336892,0.8803239157130892,0.11967608428691076,0.02651111779413104,3.092392644782044e-05,0.0003176484080065199,4.31828750436685e-05,16.005351618721676,0.026547992239321628,0.000314681334848057,309.1473760575555,82.3795680252517,5.27203857108429,78.04166689954451,61.77794369140718,3.87,15.888683541183669,-0.03104123917294821
216.8451724138,6.274503106,0.99,0.01,0.026540340409963642,0.0003740557945118811,0.9985020510582618,0.001497948941738155,0.8514892376607299,0.14851076233927002,0.026500584335133165,3.9756074830475424e-05,0.0003185044833115003,5.5551311200380804e-05,16.005351618721676,0.026547992239321628,0.000314681334848057,309.1473760575555,82.3795680252517,5.27203857108429,78.04166689954451,61.77794369140718,3.87,15.855388713920622,-0.03970516543527047
216.8451724138,6.4972893367,0.99,0.01,0.026538638560560716,0.00038729664168609713,0.9981692089166884,0.0018307910833115595,0.8245992341544107,0.17540076584558917,0.02649005185772081,4.858670283990288e-05,0.00031936451412493093,6.793212756116618e-05,16.005351618721676,0.026547992239321628,0.000314681334848057,309.1473760575555,82.3795680252517,5.27203857108429,78.04166689954451,61.77794369140718,3.87,15.82211293321408,-0.04828211356971224
216.8451724138,6.7200755674,0.99,0.01,0.02653693613177541,0.0004005536697825255,0.9978363764588597,0.0021636235411402237,0.7994648490908404,0.2005351509091597,0.026479520192050965,5.741593972444386e-05,0.00032022857916546904,8.032509061705646e-05,16.005351618721676,0.026547992239321628,0.000314681334848057,309.1473760575555,82.3795680252517,5.27203857108429,78.04166689954451,61.77794369140718,3.87,15.788856389720555,-0.05676949537548559
216.8451724138,6.9428617982,0.99,0.01,0.02653523308845488,0.0004138267458507711,0.9975035494553999,0.0024964505446001335,0.775920699412861,0.22407930058713907,0.026468989191360117,6.624389709476467e-05,0.00032109673807627863,9.273000777449254e-05,16.005351618721676,0.026547992239321628,0.000314681334848057,309.1473760575555,82.3795680252517,5.27203857108429,78.04166689954451,61.77794369140718,3.87,15.755619263605677,-0.06516967374072635
216.8451724138,7.1656480289,0.99,0.01,0.02653352939964345,0.00042711575480051803,0.9971707241880691,0.0028292758119309903,0.7538214743477754,0.24617852565222467,0.026458458726707882,7.507067293557102e-05,0.0003219690280008894,0.00010514672679962863,16.005351618721676,0.026547992239321628,0.000314681334848057,309.1473760575555,82.3795680252517,5.27203857108429,78.04166689954451,61.77794369140718,3.87,15.722401728775523,-0.0734834766370458
216.8451724138,7.3884342596,0.99,0.01,0.026531825038064415,0.0004404205971231687,0.9968378973864753,0.003162102613524747,0.7330389927945868,0.26696100720541316,0.026447928684769972,8.38963532944448e-05,0.00032284547092115807,0.0001175751262020106,16.005351618721676,0.026547992239321628,0.000314681334848057,309.1473760575555,82.3795680252517,5.27203857108429,78.04166689954451,61.77794369140718,3.87,15.689203951534102,-0.08171166576410727
216.8451724138,7.6112204903,0.99,0.01,0.02653011997960164,0.00045374118679485754,0.9965050661648888,0.003494933835111325,0.7134597584142995,0.2865402415857004,0.02643739896563537,9.272101396627275e-05,0.0003237260775132766,0.0001300151092815809,16.005351618721676,0.026547992239321628,0.000314681334848057,309.1473760575555,82.3795680252517,5.27203857108429,78.04166689954451,61.77794369140718,3.87,15.656026090607615,-0.08985494585512477
216.8451724138,7.834006721,0.99,0.01,0.026528414202866467,0.0004670774495112419,0.9961722279695173,0.0038277720304826725,0.6949829207813141,0.3050170792186859,0.026426869480967674,0.00010154472189879155,0.0003246108500924097,0.00014246659941883225,16.005351618721676,0.026547992239321628,0.000314681334848057,309.1473760575555,82.3795680252517,5.27203857108429,78.04166689954451,61.77794369140718,3.87,15.622868297332765,-0.09791397347774833
216.8451724138,8.0567929517,0.99,0.01,0.02652670768883493,0.0004804293211868923,0.9958393805343323,0.004160619465667686,0.6775185662256373,0.3224814337743626,0.026416340152464687,0.00011036753637024327,0.00032549978486329944,0.0001549295363235928,16.005351618721676,0.026547992239321628,0.000314681334848057,309.1473760575555,82.3795680252517,5.27203857108429,78.04166689954451,61.77794369140718,3.87,15.589730715966727,-0.10588936275862437
216.8451724138,8.2795791824,0.99,0.01,0.026525000420541508,0.000493796746688618,0.9955065218437016,0.00449347815629835,0.6609862779334151,0.3390137220665848,0.026405810910555997,0.0001191895099855078,0.000326392873649339,0.00016740387303927891,16.005351618721676,0.026547992239321628,0.000314681334848057,309.1473760575555,82.3795680252517,5.27203857108429,78.04166689954451,61.77794369140718,3.87,15.55661348403579,-0.1137816923137418
