T,P,z_carbon dioxide,z_nitrogen,z_carbon monoxide,z_hydrogen sulfide,rho_l,rho_v,x_carbon dioxide,x_nitrogen,x_carbon monoxide,x_hydrogen sulfide,y_carbon dioxide,y_nitrogen,y_carbon monoxide,y_hydrogen sulfide,rhoL1_carbon dioxide,rhoL2_nitrogen,rhoL3_carbon monoxide,rhoL4_hydrogen sulfide,rhoV1_carbon dioxide,rhoV2_nitrogen,rhoV3_carbon monoxide,rhoV4_hydrogen sulfide,gamma0_carbon dioxide,rhoL0_carbon dioxide,rhoV0_carbon dioxide,Tc_carbon dioxide,Pc_carbon dioxide,Psat0_carbon dioxide,parachor_carbon dioxide,parachor_nitrogen,parachor_carbon monoxide,parachor_hydrogen sulfide,n_exp,gamma_parachor,gamma_cDFT_minus_parachor
263.7429655172,38.4266197895,0.95,0.001897,0.034035,0.014068,0.02207834432466323,0.002314324496654167,0.9629341209063054,0.0011411725532228527,0.02124256893859841,0.014682137601873278,0.758173848726383,0.013106688790796947,0.22375974694785303,0.004959715534967095,0.021259991083336302,2.519520056390922e-05,0.00046900075136677166,0.0003241572893962435,0.001754660310830039,3.0333130938563956e-05,0.0005178526637265537,1.1478391159010575e-05,6.198817296016603,0.022232825226026716,0.0016029560546687073,309.1473760575555,82.3795680252517,26.88570178657286,77.66663542302815,61.77794369140718,63.65845399182276,85.37411700764652,3.87,5.293204091922868,0.01791926172389413
263.7429655172,39.0240762853,0.95,0.001897,0.034035,0.014068,0.022065636514581502,0.0023528278891635874,0.9618621211344587,0.001202921491945687,0.0223227413460859,0.014612216027509667,0.7501946682543477,0.013588044543160207,0.23131605111303702,0.004901236089454979,0.021224099942097327,2.6543228396851606e-05,0.0004925654965517513,0.0003224278475355704,0.0017650789377706545,3.197033016034443e-05,0.0005442468562699434,1.1531764962644754e-05,6.198817296016603,0.022232825226026716,0.0016029560546687073,309.1473760575555,82.3795680252517,26.88570178657286,77.66663542302815,61.77794369140718,63.65845399182276,85.37411700764652,3.87,5.240834376200692,0.020246180070850883
263.7429655172,39.6215327811,0.95,0.001897,0.034035,0.014068,0.02205290558496278,0.00239146707639275,0.9607833383945058,0.001265129924930735,0.023404372649143797,0.014547159031419649,0.7424634860312987,0.014057993920753858,0.2386324317954375,0.004846088252509975,0.02118806424921938,2.7899790787208548e-05,0.0005161344203068534,0.00032080712464933615,0.0017755769822676395,3.361922962161228e-05,0.0005706816039983272,1.1589260505171281e-05,6.198817296016603,0.022232825226026716,0.0016029560546687073,309.1473760575555,82.3795680252517,26.88570178657286,77.66663542302815,61.77794369140718,63.65845399182276,85.37411700764652,3.87,5.188705862978826,0.02261835400101564
263.7429655172,40.2189892769,0.95,0.001897,0.034035,0.014068,0.02204014767730062,0.0024302432272277344,0.9596984638248615,0.0013278006495632748,0.02448744845684202,0.014486287068733278,0.7349703767522018,0.014517011177806216,0.24571866953139906,0.004793942538592967,0.021151895868378495,2.9264922402390268e-05,0.0005397069802290853,0.0003192799062906518,0.0017861567803150547,3.527986809445287e-05,0.0005971561324320925,1.1650446386134489e-05,6.198817296016603,0.022232825226026716,0.0016029560546687073,309.1473760575555,82.3795680252517,26.88570178657286,77.66663542302815,61.77794369140718,63.65845399182276,85.37411700764652,3.87,5.136813289662275,0.02503510369947115
263.7429655172,40.8164457727,0.95,0.001897,0.034035,0.014068,0.022027359537310373,0.0024691574760038744,0.9586080642887406,0.0013909367149371628,0.02557195881371722,0.014429040182604958,0.7277058868275076,0.014965546584781532,0.2525840456556798,0.004744520932031106,0.021115604487453223,3.0638663113566275e-05,0.0005632827308630421,0.00031783365588053793,0.0017968204307921697,3.695229123229757e-05,0.0006236697846500258,1.1714969329381476e-05,6.198817296016603,0.022232825226026716,0.0016029560546687073,309.1473760575555,82.3795680252517,26.88570178657286,77.66663542302815,61.77794369140718,63.65845399182276,85.37411700764652,3.87,5.0851524775578305,0.027495395598654326
263.7429655172,41.4139022685,0.95,0.001897,0.034035,0.014068,0.022014538387342634,0.0025082109322114954,0.9575126085353864,0.00145454137425685,0.026657897262728058,0.014374952827628585,0.7206610195903558,0.015404027502287622,0.25923736641827083,0.004697586489085566,0.021079198076966846,3.202105691955553e-05,0.000586861302616163,0.00031645795084006903,0.001807569847755213,3.863655018132435e-05,0.0006502219964880241,1.1782537786933433e-05,6.198817296016603,0.022232825226026716,0.0016029560546687073,309.1473760575555,82.3795680252517,26.88570178657286,77.66663542302815,61.77794369140718,63.65845399182276,85.37411700764652,3.87,5.033720105169853,0.02999810455127694
263.7429655172,42.0113587644,0.95,0.001897,0.034035,0.014068,0.022001681829620427,0.0025474046878106956,0.9564124870244078,0.0015186180489031378,0.027745260137647297,0.014323634789041629,0.7138272175143638,0.015832859502365335,0.265686987559353,0.004652935423917778,0.021042683237386995,3.341215113268579e-05,0.0006104423858285665,0.0003151440552721762,0.0018184068001829555,4.033270051777357e-05,0.0006768122775989978,1.1852909510968594e-05,6.198817296016603,0.022232825226026716,0.0016029560546687073,309.1473760575555,82.3795680252517,26.88570178657286,77.66663542302815,61.77794369140718,63.65845399182276,85.37411700764652,3.87,4.982513536389214,0.03254195729323417
263.7429655172,42.6088152602,0.95,0.001897,0.034035,0.014068,0.021988787771939168,0.0025867398227988544,0.9553080271317257,0.0015831703010079023,0.028834046022826368,0.014274756544439986,0.7071963428374709,0.016252427496981026,0.27194083865783564,0.004610391007712597,0.02100606546542942,3.4811995755699815e-05,0.0006340257186022557,0.00031388459215179055,0.0018293329425553974,4.204080142359193e-05,0.0007034401968015416,1.1925882018323916e-05,6.198817296016603,0.022232825226026716,0.0016029560546687073,309.1473760575555,82.3795680252517,26.88570178657286,77.66663542302815,61.77794369140718,63.65845399182276,85.37411700764652,3.87,4.931530688686258,0.03512573508072059
263.7429655172,43.206271756,0.95,0.001897,0.034035,0.014068,0.021975854369974398,0.002626217409493924,0.954199504943923,0.001648201812290864,0.029924255336211927,0.01422803790757414,0.700760657517009,0.016663096847990944,0.2780064468250836,0.004569798809916448,0.020969349360549318,3.6220642999231905e-05,0.0006576110773985226,0.00031267328902732455,0.0018403498386595784,4.376091503827715e-05,0.0007301053706035813,1.2001285192487192e-05,6.198817296016603,0.022232825226026716,0.0016029560546687073,309.1473760575555,82.3795680252517,26.88570178657286,77.66663542302815,61.77794369140718,63.65845399182276,85.37411700764652,3.87,4.880769930860989,0.03774824407506383
263.7429655172,43.8037282518,0.95,0.001897,0.034035,0.014068,0.02196287998201818,0.0026658385158538664,0.9530871545006795,0.0017137163675657165,0.031015890004331186,0.01418323912742361,0.6945128031231226,0.01706521444269807,0.28389095948845866,0.004531022945720709,0.020932538786701642,3.763814690406598e-05,0.0006811982697006032,0.000311504778711869,0.0018514589803192536,4.5493105942650194e-05,0.0007568074541070427,1.2078975484919909e-05,6.198817296016603,0.022232825226026716,0.0016029560546687073,309.1473760575555,82.3795680252517,26.88570178657286,77.66663542302815,61.77794369140718,63.65845399182276,85.37411700764652,3.87,4.830230002910476,0.0404081920546453
263.7429655172,44.4011847476,0.95,0.001897,0.034035,0.014068,0.02194986313312248,0.0027056042080755432,0.951971175105963,0.0017797178417832654,0.032108953206955906,0.014140153845297824,0.6884457810643965,0.017459109725646793,0.28960116612300413,0.004493943086952559,0.02089563700025366,3.90645630427188e-05,0.0007047871282405162,0.00031037444158558275,0.0018626618022796852,4.723744074296261e-05,0.0007835461337259845,1.215883132691084e-05,6.198817296016603,0.022232825226026716,0.0016029560546687073,309.1473760575555,82.3795680252517,26.88570178657286,77.66663542302815,61.77794369140718,63.65845399182276,85.37411700764652,3.87,4.77990995262523,0.043104259544255896
263.7429655172,44.9986412434,0.95,0.001897,0.034035,0.014068,0.021936802486441725,0.002745515552635425,0.9508517371623609,0.0018462101897643542,0.03320344917482407,0.014098603473050695,0.6825529333986955,0.017845095681429127,0.29514351886132345,0.004458452058552045,0.020858646752020715,4.049994828131674e-05,0.000728377506416722,0.00030927827972297445,0.0018739596941430498,4.8993987731630925e-05,0.0008103211212933104,1.2240749467434065e-05,6.198817296016603,0.022232825226026716,0.0016029560546687073,309.1473760575555,82.3795680252517,26.88570178657286,77.66663542302815,61.77794369140718,63.65845399182276,85.37411700764652,3.87,4.729809084990654,0.04583510727935991
