temperature,pressure,z_carbon dioxide,z_hydrogen,z_nitrogen,z_argon,z_methane,z_oxygen,z_water,z_carbon monoxide,z_nitrogen dioxide,z_nitrogen oxide,z_sulfur dioxide,z_hydrogen sulfide,z_propane,z_ethane,Tc,Pc,P_bubble,P_dew,liquid_density,vapor_density,x_carbon dioxide,x_hydrogen,x_nitrogen,x_argon,x_methane,x_oxygen,x_water,x_carbon monoxide,x_nitrogen dioxide,x_nitrogen oxide,x_sulfur dioxide,x_hydrogen sulfide,x_propane,x_ethane,y_carbon dioxide,y_hydrogen,y_nitrogen,y_argon,y_methane,y_oxygen,y_water,y_carbon monoxide,y_nitrogen dioxide,y_nitrogen oxide,y_sulfur dioxide,y_hydrogen sulfide,y_propane,y_ethane,gamma,interfacial_thickness,E_carbon dioxide,E_hydrogen,E_nitrogen,E_argon,E_methane,E_oxygen,E_water,E_carbon monoxide,E_nitrogen dioxide,E_nitrogen oxide,E_sulfur dioxide,E_hydrogen sulfide,E_propane,E_ethane
202.0,6.149937309742583,0.99,0.003333,0.0,0.006667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,308.5,84.19,18.307806780132577,2.6761888896311556,1215.3474867179125,11.670537973669784,0.9954240379020517,0.0004781068640265585,0.0,0.00409785523392178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4495084932429093,0.2878158005551175,0.0,0.26267570620197317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.924181752555633,0.6316636598377336,1.0000000006294727,1.6777407942251683,0.0,5.33428718415646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202.0,7.886761519798296,0.99,0.003333,0.0,0.006667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,308.5,84.19,18.307806780132577,2.6761888896311556,1215.0491822850288,12.867821412466313,0.9941117939700759,0.0008268638299838133,0.0,0.005061342199940389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3566013492096011,0.38938913032600647,0.0,0.25400952046439235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.76446726590348,0.6378567860600136,1.00000000063534,1.6612193807007387,0.0,5.269782519942336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202.0,9.62358572985401,0.99,0.003333,0.0,0.006667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,308.5,84.19,18.307806780132577,2.6761888896311556,1214.7936236065698,13.703942144690574,0.9931433197788705,0.0012148726062717128,0.0,0.005641807614857807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2968891087022643,0.47038607414720257,0.0,0.23272481715053303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.638814313727178,0.6429841117708514,1.0000000006732759,1.6491788513352126,0.0,5.213360261326922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202.0,11.360409939909722,0.99,0.003333,0.0,0.006667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,308.5,84.19,18.307806780132577,2.6761888896311556,1214.562268072652,14.340222786963135,0.9923651690516903,0.00162390946284772,0.0,0.006010921485462036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2552285853360455,0.5342848450170488,0.0,0.21048656964690574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.532027539579886,0.6475286252328765,1.000000000731523,1.639399355097147,0.0,5.161531728429767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202.0,13.097234149965436,0.99,0.003333,0.0,0.006667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,308.5,84.19,18.307806780132577,2.6761888896311556,1214.3452065550227,14.862787119556733,0.9916957490903421,0.0020442989546205076,0.0,0.006259951955037441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2244924315895044,0.585087936078149,0.0,0.19041963233234654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.436106790095657,0.6517372104251031,1.0000000008037788,1.631004143490166,0.0,5.112463461363424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202.0,14.83405836002115,0.99,0.003333,0.0,0.006667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,308.5,84.19,18.307806780132577,2.6761888896311556,1214.1372365330249,15.31685438698039,0.9910923302094551,0.002470977111789497,0.0,0.006436692678755345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20087756640658933,0.6260765563621276,0.0,0.17304587723128295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.346888226295892,0.6557356034205135,1.000000000867721,1.6232998230422693,0.0,5.065213512311627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202.0,16.57088257007686,0.99,0.003333,0.0,0.006667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,308.5,84.19,18.307806780132577,2.6761888896311556,1213.9355030597915,15.727258014454312,0.9905314991369663,0.0029011699616980943,0.0,0.0065673309013356326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18216620306224923,0.6596781851763565,0.0,0.15815561176139428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.262100940404544,0.6596110237951478,1.000000000912797,1.616011994965698,0.0,5.019278791363909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
203.0,2.8134611944226653,0.99,0.003333,0.0,0.006667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,308.5,84.19,18.20742265489012,2.813361194422665,1213.0592139779515,7.642386808610733,0.9999488015551593,2.6159686206369668e-06,0.0,4.8582476220113694e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9899663966803328,0.0033442487879671396,0.0,0.006689354531700108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.19970447178924,0.6178545435109648,1.0000000006078011,1.7245290543302565,0.0,5.3677849532423165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
203.0,4.523890245585716,0.99,0.003333,0.0,0.006667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,308.5,84.19,18.20742265489012,2.813361194422665,1212.5996909167313,10.176611496598554,0.9973418479316234,0.00019652383144078416,0.0,0.002461628236935779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6299163782858493,0.15716262282973797,0.0,0.21292099888441263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.915222711698,0.6278976491081643,1.0000000006545062,1.6883358268011648,0.0,5.277707133372067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
203.0,6.234319296748767,0.99,0.003333,0.0,0.006667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,308.5,84.19,18.20742265489012,2.813361194422665,1212.2278199480925,11.964260690927256,0.9954583590571909,0.0004768875964164528,0.0,0.004064753346392582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4658155516262087,0.27761501206251393,0.0,0.2565694363112774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.70306447917734,0.6357161730229841,1.0000000006124075,1.6643455343416538,0.0,5.203414254893082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
