T,P,z_carbon dioxide,z_hydrogen,z_hydrogen sulfide,rho_l,rho_v,x_carbon dioxide,x_hydrogen,x_hydrogen sulfide,y_carbon dioxide,y_hydrogen,y_hydrogen sulfide,rhoL1_carbon dioxide,rhoL2_hydrogen,rhoL3_hydrogen sulfide,rhoV1_carbon dioxide,rhoV2_hydrogen,rhoV3_hydrogen sulfide,gamma0_carbon dioxide,rhoL0_carbon dioxide,rhoV0_carbon dioxide,Tc_carbon dioxide,Pc_carbon dioxide,Psat0_carbon dioxide,gamma_wsd,gamma_cDFT_minus_wsd_corrected,gamma_cDFT_minus_wsd_uncorrected
256.1092413793,22.5797727427,0.96,0.003399,0.036601,0.023258968645551305,0.001301029311485037,0.961312590880199,0.0011953419041065556,0.037492067215694376,0.9261712409384569,0.06019279607505146,0.013635962986491789,0.02235913940985624,2.780241986832797e-05,0.0008720268158267375,0.001204975931915403,7.831259203388343e-05,1.7740787535750862e-05,7.655713792874193,0.023078571762217216,0.0012610948948804032,309.1473760575555,82.3795680252517,21.50626547626145,8.017748247718632,-0.03142065538676686,-0.04101607565177279
256.1092413793,22.763770419,0.96,0.003399,0.036601,0.023259219388555658,0.00131038397410797,0.9613120669545961,0.001321323535726408,0.037366609509677434,0.9204280775190187,0.06606169544918147,0.013510227031799951,0.022359368266162857,3.0732954000722586e-05,0.0008691181683920776,0.0012061142020999304,8.656618701900882e-05,1.7703584989030944e-05,7.655713792874193,0.023078571762217216,0.0012610948948804032,309.1473760575555,82.3795680252517,21.50626547626145,8.013222310173989,-0.03435592672315568,-0.04495799472057005
256.1092413793,22.9477680954,0.96,0.003399,0.036601,0.02325956776997525,0.001319731452156472,0.9612899513775954,0.0014475345200604655,0.03726251410234396,0.9147459012890082,0.0718603490043998,0.013393749706592021,0.022359188770663393,3.366902726872499e-05,0.0008667099720431279,0.0012072189366623236,9.483636274404744e-05,1.7676152750101008e-05,7.655713792874193,0.023078571762217216,0.0012610948948804032,309.1473760575555,82.3795680252517,21.50626547626145,8.00891619799803,-0.037294571272261656,-0.04890455979630115
256.1092413793,23.1317657718,0.96,0.003399,0.036601,0.023259990193317155,0.0013290736461801776,0.9612514830560395,0.0015739136120019842,0.03717460333195847,0.9091283329960769,0.07758712946413066,0.01328453753979236,0.02235870006919505,3.660921518029454e-05,0.0008646809089418092,0.0012082985083808025,0.00010311900905354562,1.7656128745829276e-05,7.655713792874193,0.023078571762217216,0.0012610948948804032,309.1473760575555,82.3795680252517,21.50626547626145,8.004776798196357,-0.04023639314489813,-0.05285508103325043
256.1092413793,23.3157634481,0.96,0.003399,0.036601,0.023260470066617973,0.0013384118750025015,0.9612003443934192,0.0017004178926521263,0.037099237713928666,0.9035774410329404,0.08324137660262643,0.013181182364433072,0.022357971838786014,3.9552519492776396e-05,0.0008629457083391824,0.00120935877706286,0.0001114112469365106,1.7641851003130773e-05,7.655713792874193,0.023078571762217216,0.0012610948948804032,309.1473760575555,82.3795680252517,21.50626547626145,8.000766795837182,-0.043177193246377144,-0.05680501324992804
256.1092413793,23.4997611245,0.96,0.003399,0.036601,0.02326099539732037,0.0013477470994573424,0.9611391961157637,0.0018270164554015371,0.03703378742883481,0.8980943214820529,0.08882301663841814,0.013082661879528858,0.022357054417032982,4.249822135992373e-05,0.0008614427589274676,0.0012104040168165468,0.00011971096303947932,1.7632119601316162e-05,7.655713792874193,0.023078571762217216,0.0012610948948804032,309.1473760575555,82.3795680252517,21.50626547626145,7.996859197057312,-0.04611695806292371,-0.06075409369513629
256.1092413793,23.6837588009,0.96,0.003399,0.036601,0.023261557308242465,0.0013570800240875203,0.9610700070909992,0.0019536865336255028,0.03697630637537515,0.8926794060466191,0.09433237962300496,0.012988214330375858,0.022355985047180272,4.54457912642712e-05,0.0008601264697979202,0.0012114373898601792,0.00012801658801102068,1.7626046216320346e-05,7.655713792874193,0.023078571762217216,0.0012610948948804032,309.1473760575555,82.3795680252517,21.50626547626145,7.993034024980258,-0.04905523863508687,-0.06470168983350622
256.1092413793,23.8677564772,0.96,0.003399,0.036601,0.023262149091599207,0.0013664111779835742,0.9609942645335889,0.0020804110226656037,0.036925324443745446,0.8873326794648443,0.09977006085259912,0.012897259682556582,0.022354791857752073,4.8394831381053646e-05,0.0008589624024660791,0.001212461291810879,0.00013632692637709286,1.7622959795602196e-05,7.655713792874193,0.023078571762217216,0.0012610948948804032,309.1473760575555,82.3795680252517,21.50626547626145,7.9892761819094655,-0.05199144650904142,-0.06864707529472103
256.1092413793,24.0517541536,0.96,0.003399,0.036601,0.023262765586625173,0.0013757409651337408,0.9609131122604511,0.002207176851892041,0.03687971088765681,0.8820538182275249,0.10513683418171169,0.012809347590763473,0.022353496479629312,5.1345037713789865e-05,0.0008579240692820686,0.0012134775711882364,0.0001446410497282541,1.76223442172505e-05,7.655713792874193,0.023078571762217216,0.0012610948948804032,309.1473760575555,82.3795680252517,21.50626547626145,7.985574049044956,-0.05492516156868987,-0.07258972457337443
256.1092413793,24.23575183,0.96,0.003399,0.036601,0.02326340275915038,0.0013850696984412515,0.96082744406385,0.0023339738851488176,0.03683858205100108,0.8768422838842408,0.11043359385830939,0.012724122257449821,0.022352115813302376,5.4296174519555935e-05,0.0008569907713284462,0.0012144876777200836,0.00015295822454311223,1.762379617805564e-05,7.655713792874193,0.023078571762217216,0.0012610948948804032,309.1473760575555,82.3795680252517,21.50626547626145,7.981918540823525,-0.05785606601180948,-0.07652923813556622
256.1092413793,24.4197495063,0.96,0.003399,0.036601,0.023264057410825215,0.0013943976232566456,0.9607379682772584,0.002460794160641607,0.03680123756210012,0.8716973872091494,0.11566131466042236,0.012641298130428158,0.022350663250761713,5.724805662938979e-05,0.0008561461034341145,0.0012154927649234658,0.00016127786226523196,1.76269960679477e-05,7.655713792874193,0.023078571762217216,0.0012610948948804032,309.1473760575555,82.3795680252517,21.50626547626145,7.97830245102885,-0.06078391333680777,-0.08046530527448592
256.1092413793,24.6037471827,0.96,0.003399,0.036601,0.023264726973755128,0.0014037249339988109,0.9606452533683253,0.002587631354118429,0.03676711527755639,0.8666183332048624,0.1208210240560605,0.012560642739077055,0.022349149538247907,6.0200536962293524e-05,0.0008553768985449304,0.001216493762580155,0.00016959948401876226,1.7631687399893582e-05,7.655713792874193,0.023078571762217216,0.0012610948948804032,309.1473760575555,82.3795680252517,21.50626547626145,7.974719991053059,-0.06370851085625873,-0.08439768229412614
