x_carbon dioxide,x_argon,y_carbon dioxide,y_argon,liquid_density_kg_m3,vapor_density_kg_m3,Tc_K,gamma_mN_m,interfacial_thickness_nm,E_carbon dioxide,E_argon,T_K,P_bar
0.977772928483119,0.022227071516880904,0.29269648120616026,0.7073035187938396,1199.9903228005664,31.228115074859744,305.33,16.412867794966584,0.7043897188970873,1.000000000831718,4.424649192890448,206.0,12.155273521873667
0.9722683731232198,0.027731626876780272,0.2537836041480181,0.746216395851982,1199.0606835669453,36.96372731554266,305.33,15.927804922749537,0.7219059160407888,1.0000000005973693,4.298018436213101,206.0,14.343587473057491
0.966739123536575,0.033260876463425036,0.2253217825045648,0.7746782174954352,1198.1159946085834,42.789969349168686,305.33,15.453002601924108,0.7393348574141826,1.0000000007403926,4.176495901190673,206.0,16.531901424241312
0.9611848574536181,0.03881514254638183,0.20365895480788343,0.7963410451921166,1197.155913112068,48.709829570452996,305.33,14.98824288959754,0.7567756559696449,1.0000000006234515,4.059452998595254,206.0,18.720215375425138
0.9556053101951975,0.044394689804802503,0.18666973847540466,0.8133302615245954,1196.1801018089664,54.72651703973994,305.33,14.533293971903689,0.774230967170093,1.0000000003224057,3.9471123094975806,206.0,20.90852932660896
0.9500002561986047,0.04999974380139533,0.1730334636525747,0.8269665363474252,1195.188224715654,60.843451665221664,305.33,14.087918596573143,0.7917768133788521,1.000000000035678,3.839593861327541,206.0,23.096843277792782
0.9995363045452549,0.0004636954547450611,0.9499747154583406,0.05002528454165948,1200.3901091086027,9.566145672541007,305.33,18.224679425071656,0.6377014806190147,1.0000000009020766,4.8483554312885175,207.0,3.5689117610763126
0.9941232480224033,0.0058767519775967045,0.6047717851266385,0.3952282148733615,1199.506291839862,14.942433162368985,305.33,17.70695647010014,0.6555871822142457,1.000000000827832,4.714087995261565,207.0,5.756758276945578
0.9886911594026518,0.011308840597348137,0.4486120015615164,0.5513879984384836,1198.6095562600135,20.4021872508179,305.33,17.199794774328126,0.6732923923005046,1.000000000876849,4.581522921949188,207.0,7.944604792814843
0.9832367712472888,0.01676322875271119,0.3598289066238894,0.6401710933761106,1197.6989024611262,25.94481840028108,305.33,16.703010976139957,0.690869409488834,1.0000000007849335,4.452271203997354,207.0,10.132451308684109
0.9777588996932413,0.02224110030675871,0.3026880545053367,0.6973119454946635,1196.7738065567628,31.571900168620775,305.33,16.216490451005168,0.7082895656996464,1.0000000007809469,4.326815919439612,207.0,12.320297824553375
0.9722569051803673,0.02774309481963255,0.2629261932218806,0.7370738067781194,1195.8338631968911,37.28571720731548,305.33,15.740084722650279,0.7256241589409846,1.0000000005092158,4.205388703662656,207.0,14.508144340422641
0.9667303532147188,0.033269646785281236,0.23373463931769464,0.7662653606823054,1194.878706785769,43.088917486291244,305.33,15.27361162385224,0.742895711862719,1.000000000789537,4.088719913690192,207.0,16.695990856291903
0.9611789068114764,0.0388210931885236,0.2114531067107761,0.7885468932892239,1193.9079864650341,48.98440368037555,305.33,14.816866852389243,0.7601873372603195,1.000000000392332,3.9762719297057765,207.0,18.88383737216117
0.9556022871596476,0.044397712840352335,0.1939389785772995,0.8060610214227005,1192.921356980808,54.975295606571166,305.33,14.369632839585993,0.7774997078410864,1.000000000302387,3.8682437201349376,207.0,21.071683888030435
0.9500002561230777,0.049999743876922347,0.17985490131694457,0.8201450986830553,1191.9184746219807,61.064918754727366,305.33,13.93168665290957,0.7949163314360739,1.0000000000292304,3.764772108888091,207.0,23.2595304038997
0.999513013206234,0.0004869867937659938,0.9499759307366982,0.05002406926330179,1197.198089888819,10.001207462680703,305.33,17.99076668050873,0.6425351784598703,1.000000000963341,4.731783633623378,208.0,3.7420583000295613
0.9941017978996008,0.005898202100399224,0.6155096800520542,0.38449031994794575,1196.3043303994218,15.360529010871888,305.33,17.48281997314451,0.6601866905981609,1.0000000008583272,4.603231358375089,208.0,5.929523872093584
0.9886717973291568,0.011328202670843144,0.4602113692540005,0.5397886307459995,1195.3975412581146,20.802428711092116,305.33,16.98510837945564,0.677695406686599,1.0000000007747731,4.476159401596218,208.0,8.116989444157607
0.9832197216293768,0.016780278370623198,0.3707705225202013,0.6292294774797987,1194.4767052343448,26.32626942018701,305.33,16.497441938894283,0.6950407681831963,1.0000000007309129,4.352372214407366,208.0,10.304455016221628
0.9777443476850455,0.022255652314954587,0.3127573174810065,0.6872426825189936,1193.541282724659,31.933535998091646,305.33,16.019706640549217,0.7123043700069744,1.0000000007199734,4.232049272941261,208.0,12.491920588285652
0.972245009950078,0.027754990049922136,0.27217712660661925,0.7278228733933808,1192.5908571053758,37.626429449154955,305.33,15.551761151030542,0.7294586670054785,1.000000000667418,4.115578158885269,208.0,14.679386160349672
0.9667212556011341,0.03327874439886573,0.2422721121056823,0.7577278878943178,1191.625053688942,43.407516911015435,305.33,15.09343428168387,0.7465947763993099,1.0000000008980559,4.003533939207851,208.0,16.866851732413696
0.9611727327943445,0.038827267205655484,0.2193801093979598,0.7806198906020402,1190.643513408534,49.27961951696899,305.33,14.644533856281768,0.7637248288864505,1.000000000248613,3.895469635872062,208.0,19.054317304477717
0.955599150146392,0.04440084985360816,0.20134468554067417,0.7986553144593258,1189.645883301469,55.24577247476705,305.33,14.2048561032811,0.7808884663778806,1.0000000002756448,3.791565378405334,208.0,21.24178287654174
0.9500002560316133,0.04999974396838671,0.18681371440930908,0.813186285590691,1188.6318115860897,61.30921199859497,305.33,13.774191162132448,0.7981749563308974,1.0000000000278237,3.691964094761875,208.0,23.42924844860576
0.9994888160080737,0.0005111839919263999,0.9499770770514632,0.05002292294853683,1193.990354940411,10.451500530579779,305.33,17.75739080663454,0.6474304096953604,1.0000000009682661,4.619240995890859,209.0,3.921612891522624
0.9940795377018361,0.005920462298163822,0.6259878974189574,0.37401210258104256,1193.0864780757229,15.794526789238246,305.33,17.25897353613627,0.66485650942181,1.0000000008335903,4.496117052580602,209.0,6.108777561140661
0.9886517165695321,0.011348283430467935,0.4717137738353817,0.5282862261646182,1192.1694577945475,21.21927690001844,305.33,16.770478790298224,0.6821448227164609,1.0000000009159373,4.374266907930129,209.0,8.2959422307587
0.9832020460509515,0.016797953949048573,0.38172086439486386,0.6182791356051361,1191.2382605672626,26.725074620179406,305.33,16.291711439797734,0.6993242415083785,1.0000000006622054,4.255675026680345,209.0,10.483106900376736
0.9777292652784132,0.022270734721586843,0.3228942990864678,0.6771057009135322,1190.2923311111126,32.31332112020637,305.33,15.822557591343118,0.7163906379447632,1.000000000654011,4.1402343455720665,209.0,12.670271569994775
0.9722326830532645,0.027767316946735524,0.2815284033441643,0.7184715966558357,1189.3312413946744,37.986137483440494,305.33,15.362882503367596,0.7333937830336467,1.0000000006285499,4.028485411667036,209.0,14.857436239612813
0.9667118283649779,0.03328817163502202,0.2509278861319969,0.7490721138680031,1188.354607514243,43.746013676979096,305.33,14.912524863943817,0.7503855679531746,1.0000000008753693,3.920849220631082,209.0,17.044600909230848
0.9611663350776517,0.03883366492234824,0.22743500687638762,0.7725649931236124,1187.3620622048231,49.59569324593646,305.33,14.471304151138662,0.7673758415328671,1.000000000290965,3.8169681828224107,209.0,19.231765578848886
0.9555958987968478,0.044404101203152094,0.20888298008457057,0.7911170199154295,1186.353244562798,55.5381311516077,305.33,14.039028968027939,0.7844264995496246,1.0000000002403577,3.717009137030575,209.0,21.418930248466925
0.9500002559249744,0.0499997440750256,0.19390687596146194,0.8060931240385381,1185.3277950071097,61.57647916681219,305.33,13.615501959003412,0.8015772620861099,1.00000000000349,3.621110386453556,209.0,23.606094918084963
0.9994636874887011,0.0005363125112990258,0.9499781589252015,0.0500218410747984,1190.7664894767508,10.917411697756995,305.33,17.524557340082744,0.6523976529722454,1.0000000009893897,4.510771328788676,210.0,4.107732743777211
0.9940564473981954,0.005943552601804507,0.6362048160497783,0.3637951839502217,1189.8523170000992,16.244796608044837,305.33,17.035432396755624,0.6696053537293117,1.0000000008170407,4.392589057750453,210.0,6.29467015215948
0.9886309018956531,0.011369098104346937,0.48310829492727975,0.5168917050727203,1188.9248847151218,21.65308368097602,305.33,16.555930465789775,0.6867048346389517,1.0000000009294203,4.275724323218406,210.0,8.481607560541748
0.9831837333440936,0.016816266655906523,0.3926683789704719,0.607331621029528,1187.983143827184,27.14156572781195,305.33,16.085851906510275,0.7036954712823459,1.0000000005814387,4.162055058807521,210.0,10.668544968924017
0.9777136447389031,0.02228635526109687,0.33308901427994325,0.6669109857200567,1187.0265234408573,32.71156521598721,305.33,15.62508313063948,0.7205963478620824,1.0000000005645517,4.051260970776651,210.0,12.855482377306286
0.9722199196027373,0.02778008039726262,0.29097187750675446,0.7090281224932454,1186.0545839861118,38.36512695173092,305.33,15.173495212136274,0.7374606441775192,1.0000000005509837,3.944013070407149,210.0,15.042419785688555
0.9667020688729125,0.0332979311270875,0.2596954435596882,0.7403045564403118,1185.0669322099814,44.104667239740365,305.33,14.730935973785682,0.7542927530434697,1.0000000008362622,3.8405802679266055,210.0,17.229357194070822
0.9611597123519405,0.03884028764805943,0.23561261942373635,0.7643873805762637,1184.0631925695834,49.9328557849646,305.33,14.297235653447725,0.7711391333908629,1.0000000003538538,3.7406926275906422,210.0,19.416294602453092
0.9555925330007469,0.044407466999253103,0.21654975769649676,0.7834502423035032,1183.0429961869327,55.852571419373625,305.33,13.87221438533955,0.7880750304765257,1.0000000001983174,3.644508806072107,210.0,21.603232010835363
0.950000255803974,0.0499997441960261,0.20113114156471767,0.7988688584352823,1182.0059757073855,61.8668860228873,305.33,13.455686527780975,0.8051092787755671,1.0,3.5521530558088634,210.0,23.79016941921763
0.9994376016135439,0.0005623983864560836,0.9499791805512332,0.05002081944876681,1187.5260706515087,11.399335931405021,305.33,17.29227197150744,0.6574200378121212,1.0000000009718846,4.405972228197747,211.0,4.300576707104148
