T,P,z_carbon dioxide,z_carbon monoxide,z_hydrogen sulfide,rho_l,rho_v,x_carbon dioxide,x_carbon monoxide,x_hydrogen sulfide,y_carbon dioxide,y_carbon monoxide,y_hydrogen sulfide,rhoL1_carbon dioxide,rhoL2_carbon monoxide,rhoL3_hydrogen sulfide,rhoV1_carbon dioxide,rhoV2_carbon monoxide,rhoV3_hydrogen sulfide,gamma0_carbon dioxide,rhoL0_carbon dioxide,rhoV0_carbon dioxide,Tc_carbon dioxide,Pc_carbon dioxide,Psat0_carbon dioxide,parachor_carbon dioxide,parachor_carbon monoxide,parachor_hydrogen sulfide,n_exp,gamma_parachor,gamma_cDFT_minus_parachor
291.1775172414,56.0567048944,0.95,0.01,0.04,0.018472856510254942,0.003852477706840619,0.9510549706198433,0.00707226878848938,0.04187276059166733,0.9406840331238026,0.03585346594096968,0.023462500935227823,0.017568702005625096,0.00013064500653171888,0.0007735094980981284,0.003623964266790372,0.0001381246782505551,9.038876179969237e-05,1.699727505744338,0.018112277335949962,0.003847120220588769,309.1473760575555,82.3795680252517,54.75673481805526,80.39943118808306,63.65845399182276,85.10716419093472,3.87,1.8901201539312409,-0.019448858770300337
291.1775172414,56.2023051292,0.95,0.01,0.04,0.01846488951388588,0.0038645152576969335,0.9510191622974451,0.007359474605936485,0.04162136309661849,0.9395108937518345,0.037175996873849815,0.023313109374315764,0.01756046375741063,0.00013589188547886603,0.0007685338709963875,0.003630754183676447,0.00014366720713908612,9.009386688140068e-05,1.699727505744338,0.018112277335949962,0.003847120220588769,309.1473760575555,82.3795680252517,54.75673481805526,80.39943118808306,63.65845399182276,85.10716419093472,3.87,1.8800539045808926,-0.018088245972210037
291.1775172414,56.347905364,0.95,0.01,0.04,0.018457078785722076,0.0038765321159584917,0.9509631216567772,0.007648727763662575,0.041388150579560225,0.9383258208796598,0.038500213918495244,0.023173965201844924,0.017552001258735343,0.00014117317094445997,0.0007639043560422719,0.0036374501798731164,0.00014924731572631895,8.983462035905636e-05,1.699727505744338,0.018112277335949962,0.003847120220588769,309.1473760575555,82.3795680252517,54.75673481805526,80.39943118808306,63.65845399182276,85.10716419093472,3.87,1.8701243819365008,-0.016746180847976078
291.1775172414,56.4935055988,0.95,0.01,0.04,0.01844940707865963,0.003888532126369796,0.9508889310831136,0.007939841880697051,0.0411712270361894,0.9371308475710219,0.039825134218779125,0.023044018210198865,0.017543336976143884,0.00014648537499717035,0.0007595847275185754,0.003644063407392075,0.0001548613138467117,8.960740513100888e-05,1.699727505744338,0.018112277335949962,0.003847120220588769,309.1473760575555,82.3795680252517,54.75673481805526,80.39943118808306,63.65845399182276,85.10716419093472,3.87,1.8603189806089873,-0.015421188513556894
291.1775172414,56.6391058336,0.95,0.01,0.04,0.018441859256696218,0.003900518673316493,0.9507984147270118,0.008232653695872871,0.04096893157711529,0.9359277485567848,0.04114990334909663,0.02292234809411856,0.01753449054588543,0.00015182544076840744,0.0007555432700423777,0.0036506036601208023,0.00016050596641832028,8.940904677737016e-05,1.699727505744338,0.018112277335949962,0.003847120220588769,309.1473760575555,82.3795680252517,54.75673481805526,80.39943118808306,63.65845399182276,85.10716419093472,3.87,1.8506266701144392,-0.014112010958772458
291.1775172414,56.7847060684,0.95,0.01,0.04,0.018434422010775952,0.003912494742027941,0.9506931737439234,0.00852701993280917,0.040779806323267484,0.9347180756020274,0.042473777640689665,0.0228081467572831,0.017525479167559428,0.00015719068393570265,0.0007517521592808224,0.0036570795560714074,0.00016617843169326223,8.923675426327175e-05,1.699727505744338,0.018112277335949962,0.003847120220588769,309.1473760575555,82.3795680252517,54.75673481805526,80.39943118808306,63.65845399182276,85.10716419093472,3.87,1.8410377781099185,-0.012817300506147822
291.1775172414,56.9303063032,0.95,0.01,0.04,0.018427083613248567,0.003924462971640717,0.9505746166331261,0.008822814596535748,0.04060256877033809,0.9335031879423139,0.04379610898547909,0.022700703072206986,0.017516317941330316,0.00016257874227455413,0.000748186929643695,0.003663498694988176,0.00017187620801545396,8.908806863708698e-05,1.699727505744338,0.018112277335949962,0.003847120220588769,309.1473760575555,82.3795680252517,54.75673481805526,80.39943118808306,63.65845399182276,85.10716419093472,3.87,1.8315438041942758,-0.011536101236077956
294.6843448276,57.4068304326,0.95,0.01,0.04,0.018087721063187106,0.004013054059854129,0.9373924249839489,0.002442531681967728,0.06016504333408336,0.9527718007140271,0.011661524603541142,0.035566674682431694,0.01695529270985421,4.41798317514295e-05,0.0010882485215814646,0.0038235247429699555,4.679832865432959e-05,0.00014273098822984356,1.2460401259497336,0.01734912861116658,0.004360678017351982,309.1473760575555,82.3795680252517,59.47141024469733,81.49443100540073,63.65845399182276,85.09482896310243,3.87,1.7201636246610845,-0.06335954338850969
294.6843448276,57.5388527502,0.95,0.01,0.04,0.018066688912603587,0.004027767819777038,0.9388458612153904,0.002556867268623265,0.05859727151598638,0.9532052386117855,0.012138848806164249,0.034655912582050336,0.01696183611146386,4.619412553303496e-05,0.001058658675606693,0.0038392893857234424,4.8892464590607276e-05,0.0001395859694629885,1.2460401259497336,0.01734912861116658,0.004360678017351982,309.1473760575555,82.3795680252517,59.47141024469733,81.49443100540073,63.65845399182276,85.09482896310243,3.87,1.7028297002313797,-0.060831011892368725
294.6843448276,57.6708750677,0.95,0.01,0.04,0.018046393956454975,0.0040423265627908735,0.940206846679873,0.0026802910892286063,0.05711286223089856,0.9535523326242622,0.012655124443972154,0.03379254293176555,0.01696734315574125,4.8369588914195246e-05,0.0010306812117995333,0.0038545699231782534,5.115614569529273e-05,0.00013660049391732686,1.2460401259497336,0.01734912861116658,0.004360678017351982,309.1473760575555,82.3795680252517,59.47141024469733,81.49443100540073,63.65845399182276,85.09482896310243,3.87,1.6860708134728046,-0.05838315137088279
