T,P,z_carbon dioxide,z_hydrogen,rho_l,rho_v,x_carbon dioxide,x_hydrogen,y_carbon dioxide,y_hydrogen,rhoL1_carbon dioxide,rhoL2_hydrogen,rhoV1_carbon dioxide,rhoV2_hydrogen,gamma0_carbon dioxide,rhoL0_carbon dioxide,rhoV0_carbon dioxide,Tc_carbon dioxide,Pc_carbon dioxide,Psat0_carbon dioxide,parachor_carbon dioxide,parachor_hydrogen,n_exp,gamma_parachor,gamma_cDFT_minus_parachor
256.6604137931,39.904048286,0.95,0.05,0.02309647054703668,0.0022003452315813615,0.987062174668992,0.012937825331007943,0.631175861108433,0.36882413889156695,0.02279765244533635,0.0002988181017003301,0.0013888047962792003,0.0008115404353021611,7.548277307963605,0.023020150506392622,0.0012833326886808754,309.1473760575555,82.3795680252517,21.86532831534289,77.56005413067513,34.052431631256816,3.87,6.831712552126308,0.1305708004220385
256.6604137931,42.2324094763,0.95,0.05,0.023106411958356686,0.002318819692428013,0.985399730516507,0.014600269483493009,0.6052343974644169,0.3947656025355831,0.022769052116968072,0.00033735984138861305,0.001403429439375293,0.0009153902530527201,7.548277307963605,0.023020150506392622,0.0012833326886808754,309.1473760575555,82.3795680252517,21.86532831534289,77.56005413067513,34.052431631256816,3.87,6.742414865371576,0.1470149841591084
256.6604137931,44.5607706667,0.95,0.05,0.023116368038896735,0.0024372782064357164,0.9837383309906843,0.016261669009315676,0.5819117306234108,0.41808826937658916,0.02274045731315067,0.00037591072574606245,0.0014182807791177305,0.001018997427317986,7.548277307963605,0.023020150506392622,0.0012833326886808754,309.1473760575555,82.3795680252517,21.86532831534289,77.56005413067513,34.052431631256816,3.87,6.653850330923157,0.16329581302427432
256.6604137931,46.889131857,0.95,0.05,0.023126337943342984,0.0025557122646693263,0.9820778769504698,0.0179221230495302,0.5608431378116314,0.4391568621883685,0.02271186486903737,0.0004144730743056122,0.0014333536858608157,0.0011223585788085106,7.548277307963605,0.023020150506392622,0.0012833326886808754,309.1473760575555,82.3795680252517,21.86532831534289,77.56005413067513,34.052431631256816,3.87,6.566022815998459,0.17940275490068114
256.6604137931,49.2174930473,0.95,0.05,0.023136320990235076,0.0026741143703452206,0.980418287017932,0.019581712982067966,0.5417282752088964,0.4582717247911036,0.022683272193143297,0.0004530487970917778,0.0014486433655584404,0.0012254710047867802,7.548277307963605,0.023020150506392622,0.0012833326886808754,309.1473760575555,82.3795680252517,21.86532831534289,77.56005413067513,34.052431631256816,3.87,6.478935659106083,0.19532567109048493
256.6604137931,51.5458542377,0.95,0.05,0.023146316635490657,0.0027924778529744582,0.9787594946831147,0.021240505316885337,0.5243176571252068,0.475682342874793,0.022654677173928207,0.0004916394615624508,0.0014641454454455958,0.001328332407528862,7.548277307963605,0.023020150506392622,0.0012833326886808754,309.1473760575555,82.3795680252517,21.86532831534289,77.56005413067513,34.052431631256816,3.87,6.3925916507640625,0.21105680169661856
256.6604137931,53.874215428,0.95,0.05,0.023156324441293914,0.002910796726634829,0.9771014449339075,0.022898555066092473,0.5084023925716776,0.49159760742832226,0.022626078070946642,0.0005302463703472717,0.0014798560201109544,0.001430940706523874,7.548277307963605,0.023020150506392622,0.0012833326886808754,309.1473760575555,82.3795680252517,21.86532831534289,77.56005413067513,34.052431631256816,3.87,6.306993006970469,0.22658988254181622
256.6604137931,56.2025766183,0.95,0.05,0.023166344051682445,0.0030290655780748775,0.975444091615022,0.024555908384977954,0.49380630007795784,0.5061936999220421,0.02259747342953445,0.0005688706221479931,0.0014957716658026558,0.0015332939122722215,7.548277307963605,0.023020150506392622,0.0012833326886808754,309.1473760575555,82.3795680252517,21.86532831534289,77.56005413067513,34.052431631256816,3.87,6.22214136946213,0.2419187298073897
256.6604137931,58.5309378087,0.95,0.05,0.023176375185606286,0.0031472794427040464,0.9737873966534767,0.02621260334652332,0.4803797658325485,0.5196202341674514,0.022568862055855784,0.0006075131297505034,0.0015118893616957636,0.0016353900810082826,7.548277307963605,0.023020150506392622,0.0012833326886808754,309.1473760575555,82.3795680252517,21.86532831534289,77.56005413067513,34.052431631256816,3.87,6.138037921113554,0.2570409737645747
256.6604137931,60.859298999,0.95,0.05,0.023186417610758004,0.003265433759247704,0.9721313272516151,0.02786867274838488,0.4679949573241048,0.5320050426758952,0.0225402429261564,0.0006461746846016028,0.0015282065328038204,0.0017372272264438837,7.548277307963605,0.023020150506392622,0.0012833326886808754,309.1473760575555,82.3795680252517,21.86532831534289,77.56005413067513,34.052431631256816,3.87,6.054683326327585,0.27195245674007307
