T,P,z_carbon dioxide,z_argon,z_oxygen,rho_l,rho_v,x_carbon dioxide,x_argon,x_oxygen,y_carbon dioxide,y_argon,y_oxygen,rhoL1_carbon dioxide,rhoL2_argon,rhoL3_oxygen,rhoV1_carbon dioxide,rhoV2_argon,rhoV3_oxygen,gamma0_carbon dioxide,rhoL0_carbon dioxide,rhoV0_carbon dioxide,Tc_carbon dioxide,Pc_carbon dioxide,Psat0_carbon dioxide,parachor_carbon dioxide,parachor_argon,parachor_oxygen,n_exp,gamma_parachor,gamma_cDFT_minus_parachor
244.2452758621,19.1299933084,0.9700000000000001,0.025249000000000004,0.004751000000000001,0.024208533095581873,0.001111784867610986,0.9866936920295183,0.011135459800331511,0.002170848170150274,0.8020911818487839,0.16720608478781654,0.030702733363399553,0.023886406898698462,0.0002695731471108469,5.255304977256626e-05,0.0008917528384236896,0.00018589719483957392,3.413483434772258e-05,10.043402317343082,0.024254472060100594,0.0008576835821208068,309.1473760575555,82.3795680252517,14.78533098174557,77.57605568851191,56.55314330349872,55.44611770258769,3.87,9.509425132095094,-0.045048716209452166
244.2452758621,19.4349352047,0.9700000000000001,0.025249000000000004,0.004751000000000001,0.024205205014542455,0.0011298724448603106,0.9857581936982759,0.011922215183958586,0.00231959111776552,0.7914452411689741,0.1762536706102871,0.03230108822073886,0.023860479173231818,0.0002885796627552086,5.614617855542611e-05,0.0008942321696126469,0.00019914416572804896,3.6496109519614797e-05,10.043402317343082,0.024254472060100594,0.0008576835821208068,309.1473760575555,82.3795680252517,14.78533098174557,77.57605568851191,56.55314330349872,55.44611770258769,3.87,9.472264333728411,-0.047786475275641394
244.2452758621,19.7398771009,0.9700000000000001,0.025249000000000004,0.004751000000000001,0.024201862868797396,0.0011479934370423963,0.9848224535119162,0.012709675610671425,0.0024678708774123707,0.7811226186739163,0.18503325922204125,0.03384412210404242,0.023834537970007993,0.00030759782623636866,5.97270725530329e-05,0.0008967236397630263,0.00021241696722146782,3.8852830057902194e-05,10.043402317343082,0.024254472060100594,0.0008576835821208068,309.1473760575555,82.3795680252517,14.78533098174557,77.57605568851191,56.55314330349872,55.44611770258769,3.87,9.435145603074838,-0.05047123275398313
244.2452758621,20.0448189972,0.9700000000000001,0.025249000000000004,0.004751000000000001,0.024198506579104433,0.0011661479123501032,0.9838864658897504,0.013497844628904049,0.002615689481345532,0.7711091546785813,0.19355656247244188,0.035334282848976696,0.023808583117924935,0.0003266276820562641,6.329577912323412e-05,0.0008992273309224804,0.00022571558124890044,4.1205000178722233e-05,10.043402317343082,0.024254472060100594,0.0008576835821208068,309.1473760575555,82.3795680252517,14.78533098174557,77.57605568851191,56.55314330349872,55.44611770258769,3.87,9.39806903068989,-0.05310342073036445
244.2452758621,20.3497608935,0.9700000000000001,0.025249000000000004,0.004751000000000001,0.02419513606706503,0.001184335942949806,0.9829502254770559,0.014286725597622963,0.0027630489253211107,0.7613915014922645,0.2018346206412197,0.03677387786651572,0.023782614452569618,0.00034566926978730854,6.685234470810207e-05,0.0009017433218738097,0.00023903999575703534,4.355262531896089e-05,10.043402317343082,0.024254472060100594,0.0008576835821208068,309.1473760575555,82.3795680252517,14.78533098174557,77.57605568851191,56.55314330349872,55.44611770258769,3.87,9.361034710116526,-0.05568346450815831
244.2452758621,20.6547027898,0.9700000000000001,0.025249000000000004,0.004751000000000001,0.024191751255041867,0.0012025576047998473,0.9820137271293712,0.015076321699537114,0.0029099511710917484,0.7519570663396172,0.20987784964262962,0.03816508401775313,0.023756631815750308,0.0003647226243961919,7.039681489536936e-05,0.00090427168860969,0.00025239020416678316,4.589571202337413e-05,10.043402317343082,0.024254472060100594,0.0008576835821208068,309.1473760575555,82.3795680252517,14.78533098174557,77.57605568851191,56.55314330349872,55.44611770258769,3.87,9.324042737575455,-0.05821178904011326
244.2452758621,20.959644686,0.9700000000000001,0.025249000000000004,0.004751000000000001,0.02418835206608222,0.0012208129774879202,0.9810769658977776,0.015866635953486367,0.003056398148736051,0.7427939590045569,0.2176960843242413,0.03950995667120178,0.023730635055059183,0.0003837877765472864,7.392923447574953e-05,0.0009068125047523932,0.0002657662048913384,4.823426784418856e-05,10.043402317343082,0.024254472060100594,0.0008576835821208068,309.1473760575555,82.3795680252517,14.78533098174557,77.57605568851191,56.55314330349872,55.44611770258769,3.87,9.287093211682105,-0.060688829893253526
244.2452758621,21.2645865823,0.9700000000000001,0.025249000000000004,0.004751000000000001,0.02418493842384661,0.0012391021440754208,0.9801399370154789,0.01665767122574671,0.003202391758774475,0.7338909437533063,0.22529861822716224,0.04081043801953144,0.023704624023472252,0.00040286475287936563,7.744964749499452e-05,0.000909365841922256,0.0002791680009025064,5.056830125065848e-05,10.043402317343082,0.024254472060100594,0.0008576835821208068,309.1473760575555,82.3795680252517,14.78533098174557,77.57605568851191,56.55314330349872,55.44611770258769,3.87,9.250186233204243,-0.0631150335031645
244.2452758621,21.5695284786,0.9700000000000001,0.025249000000000004,0.004751000000000001,0.02418151025254534,0.001257425190956509,0.9792026358856469,0.01744943024027489,0.0033479338740781102,0.725237395136805,0.23269424013820683,0.04206836472498815,0.023678598578988193,0.00042195357625628187,8.095809730086366e-05,0.0009119317700686982,0.00029259559934026447,5.289782154754629e-05,10.043402317343082,0.024254472060100594,0.0008576835821208068,309.1473760575555,82.3795680252517,14.78533098174557,77.57605568851191,56.55314330349872,55.44611770258769,3.87,9.21332190484856,-0.06549071348042901
244.2452758621,21.8744703749,0.9700000000000001,0.025249000000000004,0.004751000000000001,0.024178067476877167,0.0012757822077264615,0.9782650580698906,0.01824191558843735,0.003493026341672065,0.7168232573085899,0.23989126773504962,0.04328547495636041,0.023652558584284975,0.0004410542660047357,8.445462658745659e-05,0.0009145103577588261,0.0003060490111653213,5.5222838802313944e-05,10.043402317343082,0.024254472060100594,0.0008576835821208068,309.1473760575555,82.3795680252517,14.78533098174557,77.57605568851191,56.55314330349872,55.44611770258769,3.87,9.17650033106831,-0.06781636690494963
244.2452758621,22.1794122711,0.9700000000000001,0.025249000000000004,0.004751000000000001,0.024174610021974057,0.0012941732870587945,0.9773271992778416,0.019035129737801446,0.003637670984356928,0.7086390065416448,0.24689757858594302,0.04446341487241227,0.023626503906409947,0.00046016683812903126,8.793927743507922e-05,0.000917101672434079,0.0003195282508454269,5.7543363779288676e-05,10.043402317343082,0.024254472060100594,0.0008576835821208068,309.1473760575555,82.3795680252517,14.78533098174557,77.57605568851191,56.55314330349872,55.44611770258769,3.87,9.13972161789879,-0.07009229159487873
