trial_id,loss,FINGERPRINT_FEATURE,MIN_UNIQUE_FOR_NUMERICAL_FEATURES,OUTLIER_REMOVAL_STD,POLYNOMIAL_FEATURES,PREPROCESS_TRANSFORMS,REGRESSION_Y_PREPROCESS_TRANSFORMS,average_before_softmax,model_path,model_type,n_estimators,softmax_temperature
43,0.010610391275760562,1,3,2,0,66,1,0,2,0,0,3
27,0.010616806016314304,0,0,0,0,110,2,0,1,0,0,3
59,0.0106845801932336,0,2,2,0,115,1,1,1,0,0,4
53,0.010701765482479045,1,0,0,0,90,1,0,2,0,0,1
37,0.010792304036102611,0,0,0,0,74,1,0,5,0,0,2
35,0.010828503147238204,0,2,1,0,44,2,0,5,0,0,3
57,0.010886468793767243,0,3,1,0,156,2,0,5,0,0,3
31,0.010965640842366448,0,0,0,0,112,1,0,1,0,0,3
34,0.01096667387495747,0,1,2,0,13,1,1,1,0,0,4
46,0.011009664822661889,0,0,0,0,12,2,0,5,0,0,4
78,0.01102539618512483,1,3,0,0,45,0,1,5,0,0,2
95,0.011171510762510384,1,3,0,0,151,0,1,5,0,0,1
12,0.011242641177032161,1,0,2,0,137,1,0,4,0,0,5
62,0.011304804902980005,1,1,2,0,79,2,0,5,0,0,1
8,0.011393817352997769,0,0,1,0,157,0,1,3,0,0,2
47,0.011440989309638069,1,3,2,0,155,1,0,4,0,0,3
54,0.011576916003191412,0,0,2,0,120,1,0,4,0,0,3
33,0.0116755018943593,0,0,0,0,160,1,0,3,0,0,3
5,0.011693255731135442,1,2,1,0,85,0,0,5,0,0,5
81,0.011722591761166886,1,3,0,0,89,1,1,6,0,0,0
32,0.011913753567921336,0,2,0,0,141,1,0,2,0,0,0
36,0.012012126672654388,0,0,2,0,149,1,0,2,0,0,3
83,0.01209356218212755,1,3,0,0,116,1,1,2,0,0,5
9,0.01211563859873308,0,2,2,0,52,1,0,0,0,0,1
1,0.012382494259566026,1,1,1,0,60,1,1,2,0,0,0
18,0.012443164873403858,1,0,2,0,97,0,1,0,0,0,1
91,0.012572607283353097,1,2,0,0,135,1,1,2,0,0,1
79,0.012984541955542677,1,3,0,0,173,1,1,3,0,0,1
86,0.013403036943766917,1,2,0,0,63,1,1,5,0,0,1
48,0.013830525628732085,0,0,1,0,57,1,1,3,0,0,1
55,0.014117474738238506,0,0,0,0,61,1,1,1,0,0,4
15,0.014161782975157163,1,0,1,0,36,2,0,6,0,0,1
87,0.014193798922373643,1,3,0,0,125,1,1,3,0,0,0
96,0.014343059091541183,1,2,0,0,131,1,1,3,0,0,2
41,0.014450911374310337,0,0,2,0,51,0,1,5,0,0,5
61,0.014464862400993057,1,0,0,0,64,0,0,5,0,0,1
99,0.014517108026896212,1,1,0,0,94,1,1,6,0,0,1
13,0.014897430525313563,1,3,2,0,101,2,0,0,0,0,1
11,0.015664234378330356,0,3,2,0,59,1,1,2,0,0,5
74,0.01579714824844402,1,3,0,0,154,1,1,0,0,0,1
16,0.016462390474499593,1,3,1,0,123,0,0,4,0,0,2
88,0.0166591905913445,1,3,0,0,176,2,1,5,0,0,5
84,0.018447139575053905,1,3,0,0,127,0,1,0,0,0,2
63,0.018505867486994287,1,0,1,0,4,1,0,5,0,0,1
14,0.01858863723724915,1,3,0,0,133,2,1,4,0,0,5
17,0.018760702499124194,1,0,2,0,100,0,0,6,0,0,1
80,0.018848852599037545,1,3,0,0,29,1,1,5,0,0,1
97,0.019212645741106073,1,3,0,0,33,1,1,5,0,0,1
3,0.019507217087517743,0,3,2,0,28,1,0,1,0,0,3
25,0.01977570443094692,0,0,0,0,16,1,0,1,0,0,4
85,0.020125712691209854,1,3,1,0,77,1,1,4,0,0,1
50,0.020429582912142565,1,0,0,0,34,1,0,5,0,0,5
92,0.020970683409333057,1,3,0,0,20,1,1,0,0,0,1
98,0.021140629022908475,1,3,1,0,22,1,1,5,0,0,1
22,0.021336274972590812,0,0,2,0,5,1,0,5,0,0,3
58,0.02138759300634113,0,0,0,0,23,1,0,3,0,0,0
40,0.021496017859916977,0,3,2,0,21,1,0,3,0,0,0
0,0.021557932175183123,1,3,0,0,35,2,0,4,0,0,2
42,0.022411926438078118,0,1,0,0,26,2,0,4,0,0,4
89,0.022748963709268835,1,1,1,0,82,1,1,6,0,0,1
51,0.023933626052213216,0,2,2,0,15,2,1,0,0,0,2
73,0.024076365550872364,1,3,0,0,10,1,1,6,0,0,1
93,0.02452218097383114,1,3,1,0,68,1,1,4,0,0,0
19,0.025706966900200367,0,2,1,0,1,0,1,0,0,0,4
10,0.026100553698269812,0,1,2,0,38,0,1,0,0,0,4
94,0.026710331172948073,1,1,0,0,103,2,1,5,0,0,5
56,0.028999993327727177,1,1,2,0,8,0,0,0,0,0,5
77,0.03302928979644756,1,3,0,0,83,2,1,4,0,0,1
38,0.03818242920907667,0,2,2,0,152,1,1,6,0,0,4
52,0.03845736403619962,0,3,1,0,106,0,0,6,0,0,4
45,0.07157556363973137,1,2,2,0,62,0,1,6,0,0,5
